name,pic_url,birth_year,season,team,AVG,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SLG,OBP
양찬열,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2024/50293.jpg,1997,2024,두산,0.125,11,8,2,1,0,0,0,1,0,0,4,1,0.125,0.417
조제영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50296.jpg,2001,2020,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
모터,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50300.jpg,1989,2020,키움,0.114,10,35,4,4,0,0,1,3,0,0,1,10,0.2,0.135
김병휘,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50304.jpg,2001,2020,키움,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
김병휘,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50304.jpg,2001,2021,키움,0.2,13,10,5,2,0,0,0,0,0,0,1,2,0.2,0.273
김병휘,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50304.jpg,2001,2023,키움,0.143,10,21,0,3,1,0,0,1,0,0,0,8,0.19,0.143
김병휘,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50304.jpg,2001,2024,키움,0.169,28,59,6,10,3,0,1,3,0,0,6,26,0.271,0.3
신준우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2024/50312.jpg,2001,2021,키움,0.167,56,42,7,7,3,0,0,4,0,1,4,21,0.238,0.28
신준우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2024/50312.jpg,2001,2022,키움,0.14,76,43,6,6,3,0,0,0,0,0,7,19,0.209,0.288
신준우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2024/50312.jpg,2001,2023,키움,0.111,24,18,4,2,0,0,0,0,0,0,0,5,0.111,0.158
신준우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2024/50312.jpg,2001,2024,키움,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
러셀,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2023/50350.jpg,1994,2020,키움,0.254,65,244,22,62,14,0,2,31,2,0,22,37,0.336,0.317
러셀,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2023/50350.jpg,1994,2023,키움,0.286,59,220,20,63,11,1,4,42,1,0,17,39,0.4,0.339
김동혁,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50360.jpg,2001,2020,키움,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
김동혁,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50360.jpg,2001,2023,키움,-,2,0,0,0,0,0,0,0,0,0,0,0,-,-
문찬종,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50365.jpg,1991,2020,키움,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
문찬종,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50365.jpg,1991,2021,키움,0.143,13,14,0,2,0,0,0,1,0,0,3,4,0.143,0.294
김동욱,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2024/50393.jpg,1997,2021,키움,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
김동욱,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2024/50393.jpg,1997,2024,키움,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
박관진,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50397.jpg,1997,2021,키움,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
박주혁,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50411.jpg,2001,2022,삼성,-,2,0,0,0,0,0,0,0,0,0,0,0,-,-
살라디노,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50468.jpg,1989,2020,삼성,0.28,44,132,26,37,8,0,6,27,6,1,23,41,0.477,0.411
팔카,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50469.jpg,1991,2020,삼성,0.209,51,196,17,41,7,0,8,23,2,0,18,58,0.367,0.272
마차도,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50506.jpg,1992,2020,롯데,0.28,144,486,79,136,31,1,12,67,15,1,54,60,0.422,0.356
마차도,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50506.jpg,1992,2021,롯데,0.279,134,466,83,130,21,1,5,58,8,5,58,65,0.361,0.359
박민,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50657.jpg,2001,2020,KIA,0,6,1,1,0,0,0,0,0,0,0,1,1,0,0.5
박민,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50657.jpg,2001,2021,KIA,0.171,18,35,3,6,1,0,0,3,0,1,2,10,0.2,0.237
박민,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50657.jpg,2001,2022,KIA,0,6,2,1,0,0,0,0,0,0,0,0,0,0,0
박민,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50657.jpg,2001,2024,KIA,0.276,16,29,5,8,4,0,0,2,0,1,1,7,0.414,0.3
강재민,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2024/50705.jpg,1997,2021,한화,-,2,0,0,0,0,0,0,0,0,0,0,0,-,-
강재민,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2024/50705.jpg,1997,2023,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
박정현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50709.jpg,2001,2020,한화,0.279,30,61,6,17,3,0,1,9,0,0,3,17,0.377,0.313
박정현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50709.jpg,2001,2021,한화,0.196,33,107,10,21,4,0,0,9,1,0,9,32,0.234,0.256
박정현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50709.jpg,2001,2022,한화,0.244,81,205,23,50,4,1,3,19,6,1,12,56,0.317,0.289
박정현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50709.jpg,2001,2023,한화,0.181,53,105,12,19,6,0,2,4,0,0,3,36,0.295,0.218
반즈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50730.jpg,1986,2020,한화,0.265,74,283,38,75,17,1,9,42,2,1,27,81,0.428,0.342
화이트,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50802.jpg,1990,2020,SK,0.136,9,22,3,3,1,0,1,4,0,0,6,1,0.318,0.367
이거연,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2023/50819.jpg,1997,2020,SK,0.125,8,8,1,1,0,0,0,0,0,0,2,6,0.125,0.3
전의산,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50820.jpg,2000,2022,SSG,0.249,77,241,36,60,15,1,13,45,0,0,24,84,0.481,0.316
전의산,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50820.jpg,2000,2023,SSG,0.201,56,134,11,27,6,0,4,21,0,2,15,40,0.336,0.294
전의산,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50820.jpg,2000,2024,SSG,0.088,34,57,3,5,0,0,1,3,0,1,5,15,0.14,0.159
김성민,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50848.jpg,2001,2020,SK,0.286,9,14,4,4,0,0,2,4,0,0,1,3,0.714,0.375
오원석,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50859.jpg,2001,2020,SK,-,2,0,0,0,0,0,0,0,0,0,0,0,-,-
류효승,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50868.jpg,1996,2020,SK,0.125,8,8,2,1,0,0,1,2,0,0,1,4,0.5,0.222
류효승,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50868.jpg,1996,2023,SSG,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0.25
류효승,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50868.jpg,1996,2024,SSG,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
안인산,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50901.jpg,2001,2021,NC,-,2,0,0,0,0,0,0,0,0,0,0,0,-,-
이종준,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50904.jpg,2001,2024,LG,-,2,0,0,0,0,0,0,0,0,0,0,0,-,-
알테어,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50923.jpg,1991,2020,NC,0.278,136,482,90,134,20,7,31,108,22,3,46,149,0.541,0.352
알테어,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50923.jpg,1991,2021,NC,0.272,143,492,83,134,19,2,32,84,20,5,57,156,0.514,0.358
김태경,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50992.jpg,2001,2022,NC,-,2,0,0,0,0,0,0,0,0,0,0,0,-,-
알몬테,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51004.jpg,1989,2021,KT,0.271,60,225,18,61,9,0,7,36,1,0,22,50,0.404,0.336
전진영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2024/51009.jpg,1998,2022,KT,0.333,4,3,0,1,0,0,0,1,0,0,0,0,0.333,0.333
지명성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51060.jpg,2002,2022,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
김영현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51097.jpg,2002,2023,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
김영현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51097.jpg,2002,2024,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
송승기,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51111.jpg,2002,2022,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
보어,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51144.jpg,1988,2021,LG,0.17,32,100,7,17,2,0,3,17,0,0,11,30,0.28,0.265
김진수,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51154.jpg,1998,2021,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
안재석,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2023/51203.jpg,2002,2021,두산,0.255,96,200,28,51,8,2,2,14,1,0,16,53,0.345,0.317
안재석,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2023/51203.jpg,2002,2022,두산,0.213,99,235,22,50,10,0,3,17,4,0,19,71,0.294,0.281
안재석,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2023/51203.jpg,2002,2023,두산,0.188,27,64,8,12,2,1,1,5,2,0,3,12,0.297,0.221
김동주,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51230.jpg,2002,2022,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
김동주,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51230.jpg,2002,2024,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
최승용,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51264.jpg,2001,2023,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,-,-
최승용,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51264.jpg,2001,2024,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
강현구,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51269.jpg,2002,2022,두산,0.333,3,3,0,1,0,0,0,0,0,0,1,0,0.333,0.6
박성재,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51298.jpg,2002,2021,두산,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
김성진,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2023/51301.jpg,1997,2021,키움,-,3,0,0,0,0,0,0,0,0,0,0,0,-,-
김성진,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2023/51301.jpg,1997,2022,키움,-,2,0,0,0,0,0,0,0,0,0,0,0,-,-
김성진,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2023/51301.jpg,1997,2023,키움,-,2,0,0,0,0,0,0,0,0,0,0,0,-,-
이주형,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51302.jpg,2002,2021,키움,0.1,5,10,1,1,0,0,1,3,0,0,1,7,0.4,0.182
이주형,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51302.jpg,2002,2022,키움,0.169,32,71,7,12,0,0,1,8,0,0,10,27,0.211,0.294
김시앙,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51303.jpg,2001,2022,키움,0.083,13,12,1,1,0,0,0,0,0,0,1,8,0.083,0.154
김시앙,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51303.jpg,2001,2023,키움,0.224,33,76,6,17,1,0,0,7,0,0,3,18,0.237,0.28
김시앙,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51303.jpg,2001,2024,키움,0.143,6,7,1,1,0,0,0,0,0,0,0,1,0.143,0.143
이재홍,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2023/51307.jpg,1998,2022,키움,0.25,4,4,0,1,0,0,0,0,0,0,0,2,0.25,0.25
크레익,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51309.jpg,1994,2021,키움,0.248,61,222,25,55,12,0,6,30,0,1,20,43,0.383,0.32
프레이타스,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51324.jpg,1989,2021,키움,0.259,43,139,13,36,10,0,2,14,0,0,7,29,0.374,0.297
김준형,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2024/51393.jpg,2002,2023,키움,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
김동진,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2024/51403.jpg,1996,2022,삼성,0.25,5,4,0,1,1,0,0,0,0,0,0,2,0.5,0.25
김동진,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2024/51403.jpg,1996,2023,삼성,0.262,44,122,14,32,7,0,0,8,3,0,9,26,0.32,0.313
김동진,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2024/51403.jpg,1996,2024,삼성,0.108,30,37,5,4,0,0,1,2,0,0,3,10,0.189,0.175
김현준,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51417.jpg,2002,2021,삼성,0.25,13,4,2,1,0,0,0,0,0,0,0,0,0.25,0.25
김현준,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51417.jpg,2002,2022,삼성,0.275,118,363,57,100,19,4,0,22,6,3,45,80,0.35,0.365
김현준,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51417.jpg,2002,2023,삼성,0.275,109,433,62,119,10,6,3,46,5,5,30,84,0.346,0.327
김현준,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51417.jpg,2002,2024,삼성,0.224,79,183,23,41,10,1,0,11,2,0,11,49,0.29,0.279
피렐라,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2023/51463.jpg,1989,2021,삼성,0.286,140,553,102,158,25,2,29,97,9,6,57,89,0.495,0.359
