name,pic_url,birth,season,team,AVG,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SLG,OBP
이주형,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50167.jpg,2001,2021,LG,0.125,14,16,3,2,0,0,0,0,2,1,1,7,0.125,0.222
이주형,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50167.jpg,2001,2023,키움,0.326,69,215,32,70,13,4,6,36,3,1,19,53,0.507,0.39
이주형,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50167.jpg,2001,2024,키움,0.266,115,473,82,126,19,3,13,60,6,0,49,119,0.402,0.352
이주형,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50167.jpg,2001,2025,키움,0.243,30,103,13,25,3,0,4,8,1,1,10,37,0.388,0.35
박지훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50204.jpg,2000,2020,두산,0,10,2,1,0,0,0,0,0,0,0,0,2,0,0
박지훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50204.jpg,2000,2021,두산,0.333,34,12,6,4,1,0,0,2,3,1,1,3,0.417,0.429
박지훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50204.jpg,2000,2023,두산,0.211,22,19,2,4,1,0,0,2,1,0,2,7,0.263,0.286
박지훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50204.jpg,2000,2025,두산,0.167,21,6,3,1,0,0,0,0,0,0,0,2,0.167,0.286
오명진,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50208.jpg,2001,2020,두산,0,5,4,0,0,0,0,0,0,0,0,0,1,0,0
오명진,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50208.jpg,2001,2021,두산,0,2,3,1,0,0,0,0,0,0,0,0,1,0,0
오명진,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50208.jpg,2001,2024,두산,0,2,1,0,0,0,0,0,1,0,0,1,1,0,0.5
오명진,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50208.jpg,2001,2025,두산,0.25,29,84,11,21,4,1,1,14,1,0,8,17,0.357,0.323
박주홍,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50357.jpg,2001,2020,키움,0.25,13,24,0,6,2,0,0,1,0,1,1,10,0.333,0.28
박주홍,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50357.jpg,2001,2021,키움,0.106,23,47,4,5,2,0,0,3,1,1,9,21,0.149,0.25
박주홍,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50357.jpg,2001,2022,키움,0.224,21,49,4,11,1,1,0,3,0,0,8,18,0.286,0.333
박주홍,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50357.jpg,2001,2023,키움,0.122,27,49,5,6,0,1,0,2,1,0,5,26,0.163,0.196
박주홍,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50357.jpg,2001,2024,키움,0.102,25,49,5,5,2,0,0,1,2,0,10,17,0.143,0.254
박주홍,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50357.jpg,2001,2025,키움,0.219,34,73,6,16,2,0,2,8,6,0,8,28,0.329,0.293
김지찬,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50458.jpg,2001,2020,삼성,0.232,135,254,47,59,5,1,1,13,21,4,24,44,0.272,0.301
김지찬,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50458.jpg,2001,2021,삼성,0.274,120,296,50,81,6,0,1,26,23,4,27,31,0.304,0.331
김지찬,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50458.jpg,2001,2022,삼성,0.28,113,361,62,101,7,6,0,25,25,4,45,64,0.332,0.361
김지찬,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50458.jpg,2001,2023,삼성,0.292,99,291,59,85,4,2,1,18,13,1,48,36,0.33,0.408
김지찬,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50458.jpg,2001,2024,삼성,0.316,135,453,102,143,16,3,3,36,42,4,60,40,0.384,0.405
김지찬,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50458.jpg,2001,2025,삼성,0.354,18,65,18,23,3,1,0,6,7,0,7,5,0.431,0.432
황성빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50500.jpg,1997,2022,롯데,0.294,102,320,62,94,12,4,1,16,10,12,22,55,0.366,0.341
황성빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50500.jpg,1997,2023,롯데,0.212,74,170,22,36,5,2,0,8,9,5,12,27,0.265,0.268
황성빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50500.jpg,1997,2024,롯데,0.32,125,366,94,117,15,8,4,26,51,10,31,56,0.437,0.375
황성빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50500.jpg,1997,2025,롯데,0.324,28,111,18,36,3,1,0,12,10,2,7,14,0.369,0.375
홍종표,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50600.jpg,2000,2020,KIA,0.25,40,80,7,20,3,0,0,7,0,2,4,13,0.288,0.282
홍종표,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50600.jpg,2000,2023,KIA,0,40,7,10,0,0,0,0,0,0,0,3,1,0,0.364
홍종표,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50600.jpg,2000,2024,KIA,0.295,100,105,27,31,4,3,0,11,5,2,6,31,0.39,0.339
홍종표,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50600.jpg,2000,2025,KIA,0.185,16,27,6,5,0,0,0,1,1,0,4,6,0.185,0.281
이인한,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50608.jpg,1998,2024,롯데,0.5,5,4,0,2,0,0,0,2,0,0,0,1,0.5,0.6
이인한,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50608.jpg,1998,2025,롯데,-,3,0,0,0,0,0,0,0,0,0,0,0,-,-
정해영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50662.jpg,2001,2021,KIA,-,3,0,0,0,0,0,0,0,0,0,0,0,-,-
정해영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50662.jpg,2001,2023,KIA,-,2,0,0,0,0,0,0,0,0,0,0,0,-,-
정해영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50662.jpg,2001,2024,KIA,-,2,0,0,0,0,0,0,0,0,0,0,0,-,-
정해영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50662.jpg,2001,2025,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
임종찬,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50704.jpg,2001,2020,한화,0.231,52,108,5,25,5,0,1,12,0,1,9,38,0.306,0.297
임종찬,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50704.jpg,2001,2021,한화,0.153,42,131,9,20,5,0,1,8,0,1,12,49,0.214,0.229
임종찬,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50704.jpg,2001,2022,한화,0.189,20,53,2,10,1,0,2,6,0,1,3,23,0.321,0.228
임종찬,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50704.jpg,2001,2024,한화,0.158,24,57,10,9,3,2,0,7,0,1,6,19,0.281,0.25
임종찬,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50704.jpg,2001,2025,한화,0.167,17,30,2,5,1,0,1,2,2,0,5,13,0.3,0.286
최인호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50707.jpg,2000,2020,한화,0.236,47,127,8,30,0,0,0,8,0,0,4,34,0.236,0.261
최인호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50707.jpg,2000,2021,한화,0.206,49,136,17,28,6,0,4,23,2,1,24,43,0.338,0.329
최인호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50707.jpg,2000,2023,한화,0.298,41,131,23,39,5,3,2,11,1,0,10,22,0.427,0.363
최인호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50707.jpg,2000,2024,한화,0.286,82,210,37,60,13,2,2,22,3,0,25,31,0.395,0.367
최인호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50707.jpg,2000,2025,한화,0.239,24,46,3,11,2,0,1,5,1,0,5,9,0.348,0.327
김승일,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50711.jpg,2001,2025,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
현원회,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50840.jpg,2001,2020,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
현원회,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50840.jpg,2001,2024,SSG,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
현원회,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50840.jpg,2001,2025,SSG,0.15,7,20,1,3,1,0,0,3,0,0,3,8,0.2,0.261
최지훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50854.jpg,1997,2020,SK,0.258,127,466,66,120,19,5,1,27,18,6,38,80,0.326,0.318
최지훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50854.jpg,1997,2021,SSG,0.262,136,461,75,121,19,6,5,45,26,6,51,71,0.362,0.342
최지훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50854.jpg,1997,2022,SSG,0.304,144,569,93,173,32,4,10,61,31,7,47,77,0.427,0.362
최지훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50854.jpg,1997,2023,SSG,0.268,117,462,65,124,19,8,2,30,21,2,29,50,0.357,0.315
최지훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50854.jpg,1997,2024,SSG,0.275,125,483,89,133,22,7,11,49,32,5,50,71,0.418,0.345
최지훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50854.jpg,1997,2025,SSG,0.321,40,156,22,50,7,1,2,16,9,4,14,26,0.417,0.371
김한별,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50902.jpg,2001,2022,NC,0.095,24,21,0,2,0,0,0,0,0,1,0,6,0.095,0.095
김한별,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50902.jpg,2001,2023,NC,0.216,79,97,8,21,0,1,0,4,0,3,4,23,0.237,0.262
김한별,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50902.jpg,2001,2024,NC,0.318,40,44,8,14,1,0,0,3,0,0,2,9,0.341,0.4
김한별,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50902.jpg,2001,2025,NC,0.455,10,11,4,5,0,0,0,2,1,0,1,2,0.455,0.538
한재환,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50903.jpg,2001,2024,NC,0.222,7,9,1,2,1,0,0,1,0,0,0,3,0.333,0.222
한재환,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50903.jpg,2001,2025,NC,0.2,14,25,2,5,0,0,0,4,0,0,2,12,0.2,0.286
박영빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50906.jpg,1997,2023,NC,0.071,41,14,11,1,1,0,0,0,4,2,1,6,0.143,0.133
박영빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50906.jpg,1997,2024,NC,0.5,19,6,3,3,2,0,0,1,2,1,1,3,0.833,0.571
박영빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50906.jpg,1997,2025,NC,0,3,1,1,0,0,0,0,0,1,0,0,1,0,0
박시원,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50996.jpg,2001,2020,NC,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
박시원,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50996.jpg,2001,2021,NC,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
박시원,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50996.jpg,2001,2024,NC,0.234,55,141,17,33,5,1,2,17,3,0,14,46,0.326,0.301
박시원,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50996.jpg,2001,2025,NC,0.22,33,41,11,9,2,0,1,2,1,0,5,13,0.341,0.304
권동진,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51003.jpg,1998,2021,KT,0.254,86,67,21,17,5,0,1,6,3,3,18,30,0.373,0.412
권동진,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51003.jpg,1998,2022,KT,0.132,48,38,9,5,1,1,0,4,4,0,1,16,0.211,0.154
권동진,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51003.jpg,1998,2024,KT,0.222,9,9,3,2,0,0,0,0,0,0,1,2,0.222,0.3
권동진,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51003.jpg,1998,2025,KT,0.333,28,78,10,26,3,1,0,7,0,1,11,23,0.397,0.411
김건형,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51005.jpg,1996,2021,KT,0.212,11,33,4,7,1,0,0,0,1,0,6,6,0.242,0.333
김건형,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51005.jpg,1996,2024,KT,0.125,13,24,2,3,1,0,0,1,0,0,1,8,0.167,0.16
김건형,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51005.jpg,1996,2025,KT,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
최성민,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51007.jpg,2002,2025,KT,0.067,22,15,2,1,0,0,0,0,1,0,1,5,0.067,0.125
유준규,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51013.jpg,2002,2022,KT,0.214,7,14,3,3,0,0,0,0,0,0,1,6,0.214,0.267
유준규,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51013.jpg,2002,2025,KT,0.043,14,23,4,1,0,0,0,3,1,0,5,9,0.043,0.214
이영빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51100.jpg,2002,2021,LG,0.243,72,148,21,36,9,0,2,16,6,3,15,51,0.345,0.323
이영빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51100.jpg,2002,2022,LG,0.184,60,76,16,14,3,0,1,5,0,0,7,25,0.263,0.253
이영빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51100.jpg,2002,2024,LG,0.222,31,63,11,14,2,0,2,12,0,1,4,20,0.349,0.261
이영빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51100.jpg,2002,2025,LG,0.222,11,9,1,2,0,0,0,1,0,0,0,3,0.222,0.222
김휘집,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51344.jpg,2002,2021,키움,0.129,34,70,9,9,1,0,1,8,1,0,13,23,0.186,0.279
김휘집,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51344.jpg,2002,2022,키움,0.222,112,333,40,74,12,1,8,36,0,0,39,115,0.336,0.326
김휘집,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51344.jpg,2002,2023,키움,0.249,110,369,46,92,22,0,8,51,0,0,48,97,0.374,0.338
김휘집,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51344.jpg,2002,2024,NC,0.258,140,488,78,126,24,1,16,73,4,3,52,119,0.41,0.337
김휘집,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51344.jpg,2002,2025,NC,0.18,36,111,16,20,5,0,4,11,0,0,11,27,0.333,0.272
장재영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51359.jpg,2002,2021,키움,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
장재영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51359.jpg,2002,2024,키움,0.168,38,119,14,20,3,0,4,13,0,0,17,64,0.294,0.288
장재영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51359.jpg,2002,2025,키움,0.143,10,14,1,2,0,0,0,2,1,0,2,7,0.143,0.25
이창용,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51407.jpg,1999,2024,삼성,0.19,9,21,1,4,1,0,0,2,0,0,0,4,0.238,0.19
이창용,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51407.jpg,1999,2025,삼성,0.273,7,11,2,3,1,0,1,2,1,0,2,5,0.636,0.385
이승현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51454.jpg,2002,2023,삼성,-,2,0,0,0,0,0,0,0,0,0,0,0,-,-
이승현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55712.jpg,2002,2025,한화,1,3,1,1,1,0,1,0,1,0,0,0,0,3,1
이재희,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51460.jpg,2001,2025,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
우강훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51526.jpg,2002,2025,LG,-,2,0,0,0,0,0,0,0,0,0,0,0,-,-
손성빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51528.jpg,2002,2021,롯데,0.316,20,19,4,6,0,0,0,0,0,0,3,6,0.316,0.409
손성빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51528.jpg,2002,2023,롯데,0.263,45,76,13,20,3,0,1,15,0,0,2,10,0.342,0.282
손성빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51528.jpg,2002,2024,롯데,0.197,86,152,24,30,6,2,6,21,0,0,13,38,0.382,0.271
손성빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51528.jpg,2002,2025,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
나승엽,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51551.jpg,2002,2021,롯데,0.204,60,113,16,23,2,0,2,10,1,0,14,33,0.274,0.289
나승엽,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51551.jpg,2002,2024,롯데,0.312,121,407,59,127,35,4,7,66,1,0,69,83,0.469,0.411
나승엽,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51551.jpg,2002,2025,롯데,0.27,43,152,20,41,9,1,7,30,0,0,26,25,0.48,0.381
조형우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51865.jpg,2002,2022,SSG,0.167,9,12,2,2,1,0,0,1,0,0,1,3,0.25,0.231
조형우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51865.jpg,2002,2023,SSG,0.185,62,119,9,22,4,1,2,12,0,0,8,25,0.286,0.24
조형우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51865.jpg,2002,2024,SSG,0.242,19,33,4,8,0,0,0,4,0,0,1,6,0.242,0.342
조형우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51865.jpg,2002,2025,SSG,0.262,25,65,6,17,0,0,2,9,0,0,4,12,0.354,0.314
김건우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51867.jpg,2002,2025,SSG,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
고명준,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51868.jpg,2002,2021,SSG,0,3,5,0,0,0,0,0,0,0,0,0,3,0,0
고명준,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51868.jpg,2002,2023,SSG,0,2,4,0,0,0,0,0,0,0,0,0,3,0,0
고명준,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51868.jpg,2002,2024,SSG,0.25,106,340,33,85,13,0,11,45,3,4,25,90,0.385,0.303
고명준,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51868.jpg,2002,2025,SSG,0.26,39,131,7,34,8,0,2,16,1,0,8,36,0.366,0.305
조병현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51897.jpg,2002,2024,SSG,-,3,0,0,0,0,0,0,0,0,0,0,0,-,-
조병현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51897.jpg,2002,2025,SSG,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
김주원,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51907.jpg,2002,2021,NC,0.241,69,166,20,40,7,1,5,16,6,2,17,57,0.386,0.316
김주원,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51907.jpg,2002,2022,NC,0.223,96,273,35,61,9,3,10,47,10,3,30,89,0.388,0.331
김주원,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51907.jpg,2002,2023,NC,0.233,127,403,56,94,9,2,10,54,15,3,44,106,0.34,0.328
김주원,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51907.jpg,2002,2024,NC,0.252,134,385,61,97,18,2,9,49,16,6,51,111,0.379,0.371
김주원,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51907.jpg,2002,2025,NC,0.223,37,139,24,31,5,1,4,16,5,3,14,32,0.36,0.297
안현민,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52001.jpg,2003,2024,KT,0.2,16,25,5,5,0,1,1,2,0,0,2,10,0.4,0.276
안현민,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52001.jpg,2003,2025,KT,0.383,13,47,8,18,3,1,5,15,0,0,3,8,0.809,0.442
김병준,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52002.jpg,2003,2023,KT,0,3,2,0,0,0,0,0,0,0,0,0,2,0,0
김병준,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52002.jpg,2003,2024,KT,0.357,35,14,9,5,0,0,0,1,0,0,2,2,0.357,0.438
김병준,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52002.jpg,2003,2025,KT,0.25,6,4,1,1,0,0,0,0,0,0,0,2,0.25,0.25
