name,pic_url,birth,season,team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
함창건,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50108.jpg,2001,2025,LG,0.000,2,6,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0
손호영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50150.jpg,1994,2020,LG,0.367,23,31,30,9,11,2,0,0,13,3,5,0,1,0,6,2,0.433,0.387,2
손호영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50150.jpg,1994,2021,LG,0.100,8,12,10,2,1,0,0,0,1,0,0,0,1,1,2,0,0.100,0.250,2
손호영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50150.jpg,1994,2022,LG,0.257,36,82,74,13,19,0,2,3,32,14,0,3,6,0,14,2,0.432,0.309,5
손호영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50150.jpg,1994,2023,LG,0.205,27,45,44,8,9,0,0,1,12,6,2,1,1,0,12,5,0.273,0.222,5
손호영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50150.jpg,1994,2024,롯데,0.317,102,430,398,70,126,26,4,18,214,78,7,4,17,9,65,6,0.538,0.354,14
손호영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50150.jpg,1994,2025,롯데,0.232,27,108,95,7,22,2,0,0,24,10,1,0,7,2,18,5,0.253,0.295,4
이주형,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50167.jpg,2001,2021,LG,0.125,14,19,16,3,2,0,0,0,2,0,2,1,1,1,7,0,0.125,0.222,0
이주형,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50167.jpg,2001,2023,키움,0.326,69,243,215,32,70,13,4,6,109,36,3,1,19,5,53,4,0.507,0.390,0
이주형,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50167.jpg,2001,2024,키움,0.266,115,537,473,82,126,19,3,13,190,60,6,0,49,14,119,4,0.402,0.352,3
이주형,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50167.jpg,2001,2025,키움,0.243,30,120,103,13,25,3,0,4,40,8,1,1,10,7,37,2,0.388,0.350,0
박지훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50204.jpg,2000,2020,두산,0.000,10,2,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0
박지훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50204.jpg,2000,2021,두산,0.333,34,14,12,6,4,1,0,0,5,2,3,1,1,1,3,0,0.417,0.429,0
박지훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50204.jpg,2000,2023,두산,0.211,22,21,19,2,4,1,0,0,5,2,1,0,2,0,7,0,0.263,0.286,0
박지훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50204.jpg,2000,2025,두산,0.167,21,8,6,3,1,0,0,0,1,0,0,0,0,1,2,1,0.167,0.286,1
오명진,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50208.jpg,2001,2020,두산,0.000,5,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0
오명진,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50208.jpg,2001,2021,두산,0.000,2,3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0
오명진,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50208.jpg,2001,2024,두산,0.000,2,2,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0.000,0.500,0
오명진,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50208.jpg,2001,2025,두산,0.250,29,93,84,11,21,4,1,1,30,14,1,0,8,1,17,1,0.357,0.323,1
박주홍,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50357.jpg,2001,2020,키움,0.250,13,25,24,0,6,2,0,0,8,1,0,1,1,0,10,0,0.333,0.280,1
박주홍,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50357.jpg,2001,2021,키움,0.106,23,56,47,4,5,2,0,0,7,3,1,1,9,0,21,1,0.149,0.250,0
박주홍,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50357.jpg,2001,2022,키움,0.224,21,57,49,4,11,1,1,0,14,3,0,0,8,0,18,1,0.286,0.333,0
박주홍,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50357.jpg,2001,2023,키움,0.122,27,57,49,5,6,0,1,0,8,2,1,0,5,0,26,0,0.163,0.196,0
박주홍,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50357.jpg,2001,2024,키움,0.102,25,59,49,5,5,2,0,0,7,1,2,0,10,0,17,1,0.143,0.254,0
박주홍,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50357.jpg,2001,2025,키움,0.219,34,83,73,6,16,2,0,2,24,8,6,0,8,0,28,1,0.329,0.293,0
김지찬,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50458.jpg,2001,2020,삼성,0.232,135,287,254,47,59,5,1,1,69,13,21,4,24,2,44,1,0.272,0.301,10
김지찬,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50458.jpg,2001,2021,삼성,0.274,120,336,296,50,81,6,0,1,90,26,23,4,27,0,31,0,0.304,0.331,19
김지찬,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50458.jpg,2001,2022,삼성,0.280,113,429,361,62,101,7,6,0,120,25,25,4,45,2,64,2,0.332,0.361,22
김지찬,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50458.jpg,2001,2023,삼성,0.292,99,355,291,59,85,4,2,1,96,18,13,1,48,9,36,1,0.330,0.408,16
김지찬,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50458.jpg,2001,2024,삼성,0.316,135,535,453,102,143,16,3,3,174,36,42,4,60,9,40,5,0.384,0.405,3
김지찬,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50458.jpg,2001,2025,삼성,0.354,18,74,65,18,23,3,1,0,28,6,7,0,7,2,5,0,0.431,0.432,0
황성빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50500.jpg,1997,2022,롯데,0.294,102,353,320,62,94,12,4,1,117,16,10,12,22,2,55,2,0.366,0.341,7
황성빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50500.jpg,1997,2023,롯데,0.212,74,191,170,22,36,5,2,0,45,8,9,5,12,1,27,1,0.265,0.268,1
황성빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50500.jpg,1997,2024,롯데,0.320,125,406,366,94,117,15,8,4,160,26,51,10,31,2,56,3,0.437,0.375,4
황성빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50500.jpg,1997,2025,롯데,0.324,28,121,111,18,36,3,1,0,41,12,10,2,7,2,14,1,0.369,0.375,2
홍종표,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50600.jpg,2000,2020,KIA,0.250,40,88,80,7,20,3,0,0,23,7,0,2,4,0,13,1,0.288,0.282,0
홍종표,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50600.jpg,2000,2023,KIA,0.000,40,12,7,10,0,0,0,0,0,0,0,0,3,1,1,0,0.000,0.364,0
홍종표,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50600.jpg,2000,2024,KIA,0.295,100,115,105,27,31,4,3,0,41,11,5,2,6,1,31,0,0.390,0.339,5
홍종표,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50600.jpg,2000,2025,KIA,0.185,16,35,27,6,5,0,0,0,5,1,1,0,4,0,6,1,0.185,0.281,0
이인한,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50608.jpg,1998,2024,롯데,0.500,5,5,4,0,2,0,0,0,2,2,0,0,0,1,1,0,0.500,0.600,0
이인한,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50608.jpg,1998,2025,롯데,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
정해영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50662.jpg,2001,2021,KIA,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
정해영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50662.jpg,2001,2023,KIA,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
정해영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50662.jpg,2001,2024,KIA,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
정해영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50662.jpg,2001,2025,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
임종찬,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50704.jpg,2001,2020,한화,0.231,52,119,108,5,25,5,0,1,33,12,0,1,9,1,38,2,0.306,0.297,0
임종찬,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50704.jpg,2001,2021,한화,0.153,42,146,131,9,20,5,0,1,28,8,0,1,12,1,49,2,0.214,0.229,1
임종찬,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50704.jpg,2001,2022,한화,0.189,20,57,53,2,10,1,0,2,17,6,0,1,3,0,23,1,0.321,0.228,1
임종찬,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50704.jpg,2001,2024,한화,0.158,24,64,57,10,9,3,2,0,16,7,0,1,6,1,19,2,0.281,0.250,0
임종찬,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50704.jpg,2001,2025,한화,0.167,17,35,30,2,5,1,0,1,9,2,2,0,5,0,13,0,0.300,0.286,1
최인호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50707.jpg,2000,2020,한화,0.236,47,135,127,8,30,0,0,0,30,8,0,0,4,1,34,3,0.236,0.261,0
최인호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50707.jpg,2000,2021,한화,0.206,49,164,136,17,28,6,0,4,46,23,2,1,24,2,43,1,0.338,0.329,0
최인호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50707.jpg,2000,2023,한화,0.298,41,148,131,23,39,5,3,2,56,11,1,0,10,4,22,2,0.427,0.363,1
최인호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50707.jpg,2000,2024,한화,0.286,82,244,210,37,60,13,2,2,83,22,3,0,25,3,31,3,0.395,0.367,2
최인호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50707.jpg,2000,2025,한화,0.239,24,53,46,3,11,2,0,1,16,5,1,0,5,1,9,2,0.348,0.327,0
김승일,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50711.jpg,2001,2025,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
현원회,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50840.jpg,2001,2020,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
현원회,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50840.jpg,2001,2024,SSG,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0
현원회,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50840.jpg,2001,2025,SSG,0.150,7,23,20,1,3,1,0,0,4,3,0,0,3,0,8,0,0.200,0.261,0
최지훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50854.jpg,1997,2020,SK,0.258,127,520,466,66,120,19,5,1,152,27,18,6,38,5,80,4,0.326,0.318,4
최지훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50854.jpg,1997,2021,SSG,0.262,136,534,461,75,121,19,6,5,167,45,26,6,51,8,71,6,0.362,0.342,2
최지훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50854.jpg,1997,2022,SSG,0.304,144,640,569,93,173,32,4,10,243,61,31,7,47,7,77,7,0.427,0.362,1
최지훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50854.jpg,1997,2023,SSG,0.268,117,503,462,65,124,19,8,2,165,30,21,2,29,3,50,3,0.357,0.315,3
최지훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50854.jpg,1997,2024,SSG,0.275,125,543,483,89,133,22,7,11,202,49,32,5,50,2,71,5,0.418,0.345,7
최지훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50854.jpg,1997,2025,SSG,0.321,40,176,156,22,50,7,1,2,65,16,9,4,14,1,26,0,0.417,0.371,3
김한별,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50902.jpg,2001,2022,NC,0.095,24,23,21,0,2,0,0,0,2,0,0,1,0,0,6,0,0.095,0.095,4
김한별,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50902.jpg,2001,2023,NC,0.216,79,105,97,8,21,0,1,0,23,4,0,3,4,2,23,6,0.237,0.262,5
김한별,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50902.jpg,2001,2024,NC,0.318,40,50,44,8,14,1,0,0,15,3,0,0,2,4,9,2,0.341,0.400,1
김한별,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50902.jpg,2001,2025,NC,0.455,10,14,11,4,5,0,0,0,5,2,1,0,1,1,2,0,0.455,0.538,1
한재환,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50903.jpg,2001,2024,NC,0.222,7,9,9,1,2,1,0,0,3,1,0,0,0,0,3,0,0.333,0.222,0
한재환,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50903.jpg,2001,2025,NC,0.200,14,28,25,2,5,0,0,0,5,4,0,0,2,1,12,0,0.200,0.286,0
박영빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50906.jpg,1997,2023,NC,0.071,41,17,14,11,1,1,0,0,2,0,4,2,1,0,6,0,0.143,0.133,0
박영빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50906.jpg,1997,2024,NC,0.500,19,7,6,3,3,2,0,0,5,1,2,1,1,0,3,0,0.833,0.571,0
박영빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50906.jpg,1997,2025,NC,0.000,3,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0.000,0.000,0
박시원,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50996.jpg,2001,2020,NC,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0
박시원,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50996.jpg,2001,2021,NC,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0
박시원,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50996.jpg,2001,2024,NC,0.234,55,158,141,17,33,5,1,2,46,17,3,0,14,0,46,2,0.326,0.301,2
박시원,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50996.jpg,2001,2025,NC,0.220,33,47,41,11,9,2,0,1,14,2,1,0,5,0,13,0,0.341,0.304,0
권동진,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51003.jpg,1998,2021,KT,0.254,86,86,67,21,17,5,0,1,25,6,3,3,18,0,30,0,0.373,0.412,8
권동진,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51003.jpg,1998,2022,KT,0.132,48,40,38,9,5,1,1,0,8,4,4,0,1,0,16,0,0.211,0.154,1
권동진,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51003.jpg,1998,2024,KT,0.222,9,10,9,3,2,0,0,0,2,0,0,0,1,0,2,0,0.222,0.300,1
권동진,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51003.jpg,1998,2025,KT,0.333,28,92,78,10,26,3,1,0,31,7,0,1,11,0,23,1,0.397,0.411,5
김건형,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51005.jpg,1996,2021,KT,0.212,11,39,33,4,7,1,0,0,8,0,1,0,6,0,6,0,0.242,0.333,0
김건형,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51005.jpg,1996,2024,KT,0.125,13,25,24,2,3,1,0,0,4,1,0,0,1,0,8,0,0.167,0.160,0
김건형,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51005.jpg,1996,2025,KT,0.000,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0
최성민,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51007.jpg,2002,2025,KT,0.067,22,17,15,2,1,0,0,0,1,0,1,0,1,0,5,0,0.067,0.125,1
유준규,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51013.jpg,2002,2022,KT,0.214,7,16,14,3,3,0,0,0,3,0,0,0,1,0,6,0,0.214,0.267,0
유준규,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51013.jpg,2002,2025,KT,0.043,14,28,23,4,1,0,0,0,1,3,1,0,5,0,9,0,0.043,0.214,0
이영빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51100.jpg,2002,2021,LG,0.243,72,169,148,21,36,9,0,2,51,16,6,3,15,3,51,1,0.345,0.323,7
이영빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51100.jpg,2002,2022,LG,0.184,60,83,76,16,14,3,0,1,20,5,0,0,7,0,25,3,0.263,0.253,2
이영빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51100.jpg,2002,2024,LG,0.222,31,71,63,11,14,2,0,2,22,12,0,1,4,0,20,0,0.349,0.261,1
이영빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51100.jpg,2002,2025,LG,0.222,11,9,9,1,2,0,0,0,2,1,0,0,0,0,3,0,0.222,0.222,0
김휘집,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51344.jpg,2002,2021,키움,0.129,34,89,70,9,9,1,0,1,13,8,1,0,13,2,23,0,0.186,0.279,7
김휘집,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51344.jpg,2002,2022,키움,0.222,112,393,333,40,74,12,1,8,112,36,0,0,39,14,115,6,0.336,0.326,16
김휘집,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51344.jpg,2002,2023,키움,0.249,110,435,369,46,92,22,0,8,138,51,0,0,48,5,97,8,0.374,0.338,18
김휘집,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51344.jpg,2002,2024,NC,0.258,140,562,488,78,126,24,1,16,200,73,4,3,52,10,119,16,0.410,0.337,16
김휘집,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51344.jpg,2002,2025,NC,0.180,36,126,111,16,20,5,0,4,37,11,0,0,11,3,27,1,0.333,0.272,9
장재영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51359.jpg,2002,2021,키움,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
장재영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51359.jpg,2002,2024,키움,0.168,38,139,119,14,20,3,0,4,35,13,0,0,17,3,64,2,0.294,0.288,0
장재영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51359.jpg,2002,2025,키움,0.143,10,16,14,1,2,0,0,0,2,2,1,0,2,0,7,0,0.143,0.250,1
이창용,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51407.jpg,1999,2024,삼성,0.190,9,21,21,1,4,1,0,0,5,2,0,0,0,0,4,0,0.238,0.190,1
이창용,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51407.jpg,1999,2025,삼성,0.273,7,13,11,2,3,1,0,1,7,2,1,0,2,0,5,0,0.636,0.385,1
이승현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51454.jpg,2002,2023,삼성,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
이승현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55712.jpg,2002,2025,한화,1.000,3,1,1,1,1,0,1,0,3,1,0,0,0,0,0,0,3.000,1.000,0
이재희,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51460.jpg,2001,2025,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
우강훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51526.jpg,2002,2025,LG,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
손성빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51528.jpg,2002,2021,롯데,0.316,20,22,19,4,6,0,0,0,6,0,0,0,3,0,6,0,0.316,0.409,0
손성빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51528.jpg,2002,2023,롯데,0.263,45,80,76,13,20,3,0,1,26,15,0,0,2,0,10,3,0.342,0.282,1
손성빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51528.jpg,2002,2024,롯데,0.197,86,171,152,24,30,6,2,6,58,21,0,0,13,3,38,3,0.382,0.271,4
손성빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51528.jpg,2002,2025,롯데,-,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-,-,0
나승엽,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51551.jpg,2002,2021,롯데,0.204,60,128,113,16,23,2,0,2,31,10,1,0,14,0,33,1,0.274,0.289,5
나승엽,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51551.jpg,2002,2024,롯데,0.312,121,489,407,59,127,35,4,7,191,66,1,0,69,4,83,4,0.469,0.411,11
나승엽,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51551.jpg,2002,2025,롯데,0.270,43,181,152,20,41,9,1,7,73,30,0,0,26,2,25,3,0.480,0.381,3
조형우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51865.jpg,2002,2022,SSG,0.167,9,13,12,2,2,1,0,0,3,1,0,0,1,0,3,0,0.250,0.231,0
조형우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51865.jpg,2002,2023,SSG,0.185,62,133,119,9,22,4,1,2,34,12,0,0,8,1,25,2,0.286,0.240,5
조형우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51865.jpg,2002,2024,SSG,0.242,19,38,33,4,8,0,0,0,8,4,0,0,1,4,6,0,0.242,0.342,1
조형우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51865.jpg,2002,2025,SSG,0.262,25,71,65,6,17,0,0,2,23,9,0,0,4,1,12,1,0.354,0.314,0
김건우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51867.jpg,2002,2025,SSG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
고명준,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51868.jpg,2002,2021,SSG,0.000,3,5,5,0,0,0,0,0,0,0,0,0,0,0,3,1,0.000,0.000,0
