plcyNm,plcyExplnCn,plcySprtCn,aplyYmd,aplyUrlAddr,sprtTrgtMinAge,sprtTrgtMaxAge,lclsfNm,mclsfNm
농촌에서 일하고 쉬는 워케이션 참가비 지원,"창의적인 아이디어가 반짝이고 오롯이 업무에만 집중할 수 있는 곳으로, 답답한 도심을 벗어난 여유롭고 편안하게 쉴 수 있는 공간으로 농촌형 워케이션 확산을 위해 기업·근로자의 참가비 지원사업","- 여행자 보험 무료가입
- 워케이션 상품 1일 5만원 할인 지원가격으로 이용",20240701 ~ 20241130,https://www.welchon.com,,,복지문화,문화활동
부산 공공근로사업,"저소득 실업자에게 한시적 일자리 제공 및 사회안전망 확보, 청년일자리 창출 및 도시재생사업 등 생산적이고 효과적 사업 발굴, 주민생활개선 및 소규모 주민 숙원사업으로 지역문제 해결 등을 위한 근로사업","□ 주급 : 394,400원(시급 : 9,860원X40H)
※ 구·군에 따라 근로시간이 상이하므로 정확한 주급은 해당 구·군에 확인
- 65세이상 주 25시간 이내 구·군 자율 운영
- 주 유급휴일 및 연차 유급휴일, 공휴일과 대체공휴일의 유급휴일 인정
- 1일 5,000원 이내 간식비 등 지급",,,,,"일자리,일자리","취업,재직자"
여성 맞춤형 직업능력개발 훈련,디지털 기반 고부가 인력양성 및 현장 수요 맞춤형 직업훈련을 통한 여성 취창업 지원,"□ (지원내용) 취창업 상담 및 교육수료 후 취업연계, 사후관리 등
□ (교육규모) 6개센터, 253개 과정
□ (훈련분야) 직업교육훈련(구직자) 및 직무능력향상 교육(재직자)
  - IT(OA 스킬업, 3D 가상의류 디자이너 양성, 유튜브 크리에이터 양성과정 등)
  - 바리스타, 산모신생아 건강관리, 펫푸드 과정, 홈패션 소품 제작 등 
  - 전자상거래직무교육, 홍보 콘텐츠 제작 등 실무향상 과정 등",,,,,"일자리,일자리","재직자,창업"
찾아가는 취업지원 서비스 잇잡(JOB) 버스,부산 전 지역 시민을 대상으로 이동버스를 활용하여 일자리정보와 상담 서비스 제공,"□ 입사서류 컨설팅, 면접 컨설팅, 구인상담, 진로상담, 심리상담, 일자리정책 안내",,https://busanjob.net/13_jbus/jbus00.asp,,,"일자리,일자리","취업,재직자"
부산 국제기구 진출설명회,주요 국제기구의 인사담당관을 초청해 국제기구 진출에 관심 있는 지역 청년들에게 실질적 정보 제공 행사,"□ 설명회 : 국제기구 합동 채용설명회, 국제기구별 채용 분야 심층세션, 모의면접 등 지원
□ 채용상담 : 글로벌 기업 채용상담 및 부산시 청년정책 등 안내
□ 이벤트 : 퍼스널컬러컨설팅, 메이크업 스타일링, 증명사진 촬영 및 인화",20240717 ~ 20240717,,,,"일자리,일자리","취업,재직자"
마음똑(Knock)톡(Talk) 성장 상담소,부산시 거주 심리상담이 필요한 미취업청년 누구나 이용 가능한 일대일 진로 및 심리상담 서비스 사업,"□ 일대일 심리상담 5회기 진행(기본)
○ 1회기당 약 50분 소요
 - 1인 기본상담 5회기 필요시 심화상담 5회기 추가 가능",,https://forms.gle/zG4rt9bxH5yJChWX6,15,39,"복지문화,복지문화","건강,문화활동"
청년농부 선진농업국가 벤치마킹,국내 적용 가능한 다양한 선진 농업기술 습득으로 청년농업인 전문성 강화 및 대내외 환경적응력 제고," ❍ (사업대상) 청년농업인 25명 정도
 ❍ (사업내용) 스마트팜 등 선진 농업국가의 농업 시스템을 직접 체험할 수 있는 연수기회 제공",20250401 ~ 20250430,,19,39,"참여권리,참여권리","정책인프라구축,청년국제교류"
으뜸관악 청년통장,"학자금 대출, 주거비, 비정규직 취업 등으로 어려움을 겪고 있는 청년이 밝은 미래를 준비할 수 있도록 재정적 지원","본인저축액(15만원)+매칭금(1:1)
예) 15만원 저축 시 매칭금 15만원 지원",20240610 ~ 20240621,https://www.gwanak.go.kr,18,34,주거,전월세 및 주거급여 지원
"제10차 울진청년하루배움데이, 마크라메",원데이 클래스,"○ 강의주제: 마크라메, '플랜트 행잉' 만들기

○ 강의일시: 2024. 7.10.(수) 오전 10시(약 2시간 소요)

○ 참여대상: 19세 ~ 49세 울진 청년 누구나

○ 강의장소: 울진청년일자리센터 1층(울진읍 읍내로 57-6)",,http://gbyouth.co.kr/policy/list.tc?mn=2379&pageNo=5069&no=650,19,49,"교육,일자리,교육","미래역량강화,창업,온라인교육"
"제11차 울진청년하루배움데이, 캘리그라피",원데이 클래스,"○ 강의주제: 캘리그라피

○ 강의일시: 2024.7.24.(수) 오후 7시(약 2시간 소요)

○ 강의장소: 울진청년일자리센터 1층(울진읍 읍내로 57-6)",,http://gbyouth.co.kr/policy/list.tc?mn=2379&pageNo=5069&no=651,19,49,"교육,교육,복지문화","미래역량강화,온라인교육,문화활동"
고성군 청년 어업인 귀어 인턴 지원사업,귀어 취업을 희망하는 청년에게 현장 영어 실무연수 기회 제공,"□ 사업내용 : 영어취업 희망 청년층을 대상으로 채용대상자 등에 인턴(실무연수)으로 근무 시 인턴 1인당 월 100만원 한도, 월 보수의 50%, 연간 최대 400만원 한도 지원
※ 월 급여의 50%(월 100만원 한도) × 4개월 = 400만원

□ 인원 및 지원한도
○ 인원한도 : 채용대상자는 사업 시행년도 최대 3명까지 가능
○ 지원한도 : 1인당, 최대 월 100만원 한도 지원
* 예산 편성 지연으로 사업비 지급이 어려울 경우,  예산 편성 후 소급 지급 가능
○ 지원기간 : 최소 2개월 ~ 최대 4개월
(다만, 2개월 이내 청년의 자진퇴사 등으로 인한 재배치는 가능)
○ 채용조건 : 4대 보험 가입 필수",20240702 ~ 20240719,,18,49,"일자리,일자리","취업,재직자"
울산 남구 소상공인 온라인플랫폼 지원 사업,온라인 플랫폼 비용을 지원하여 경영안정 및 자생력 확보,"□ 지원내용 : 온라인 플랫폼 비용 최대 100만원 지원(자부담10%, 부가세 제외)
○ 지원구분
- 온라인 배달 플랫폼(배달의 민족, 요기요, 쿠팡이츠, 울산페달 등 배달앱 서비스)
- 온라인 오픈마켓 플랫폼(네이버, 쿠팡, 옥션, 지마켓, 위메프, 11번가 등 오픈마켓)
○ 지원내용 : 서비스 이용 수수료, 키워드 배너 광고 비용, 판촉을 위한 쿠폰 발행비 등
※2023년 이후 지출내역",20240610 ~ 20241231,,,,"일자리,일자리","재직자,창업"
울산 동구 청년협의체 운영(제3기 위원 모집),지역특성 청년욕구가 반영된 실효성 있는 맞춤형 청년정책 실현 및 청년 주도적 활동과 참여로 청년문제 해결,"□ 활동기간: 위촉일로부터 2년 ※1회 연임 가능

□ 주요활동
○ 청년정책 의견 수렴
○ 청년정책 모니터링 및 피드백
○ 청년문제 발굴·조사 및 개선방안 모색
○ 청년정책 제안 및 참여
○ 캠페인, 공론장 등의 프로젝트 기획·운영
○ 타 시도 협의체와의 교류 및 역량강화

□ 지원내용
○ 분과별 모임운영 및 프로젝트 지원
○ 청년정책협의체 위촉장 지급
○ 회의 참석수당 지급
○ 활동 우수참여자 표창 수여

□ 분과구성
○ 임원 6명(위원장, 부위원장, 분과위원장(4명))
○ 노동일자리, 문화예술, 복지인권, 주거생활(신청에 따라 변동 가능)",20240708 ~ 20240805,,18,39,"참여권리,참여권리","청년참여,청년국제교류"
울산 남구형 청년 창업가 경진대회 참여자 모집,예비 또는 초기 청년 창업자의 창의적인 아이디어와 신규 비즈니스 모델을 발굴하여 청년 창업 촉진 및 기업 성장 지원,"□ 공모부문: 초기창업 또는 2024. 11. 30.까지 사업화 가능한 비즈니스 모델 
□ 주요내용
- (심사절차) 1차 서류심사 -> 2차 PPT 대면발표심사 -> 최종발표
- (시    상) 우수자 4명 선정, 사업화 비용 지원
※ 대상: 1명 5,000천원, 최우수: 1명 4,000천원, 우수: 2명 각 3,000천원
※ 우수창업가 선정자 수는 심사 결과에 따라 적거나 없을 수 있음.
- (후속지원) 창업역량 강화 및 기업성장 1:1 맞춤형 컨설팅 지원",20240703 ~ 20240708,,19,39,"일자리,일자리","취업,재직자"
2024년 양식장 임대사업 대상자 모집,양식업 신규창업을 통해 청년 귀어인 등의 어촌 정착을 돕고 어촌사회 신규인력 유입을 촉진,"공공기관이 확보한 기존 양식장을 신규인력에게 임대하고, 임대료 지원 및 양식기술 교육 등 초기 정착 지원(국비 50%, 자부담50%)
* 양식장 임대료는 1개소 당 연간 최대 2,750만원 한도 내 지원(국비 지원)",,,,,"일자리,일자리","재직자,창업"
함양군 청년 월세 지원 사업(2차),청년의 주거비 부담 경감 및 안정적 주거생활 지원을 위해 10개월 간 최대 15만원 월세 지원,"□ 지원내용 : 월 임차료 중 최대 15만원 이내 지원(연 최대 150만원) ※ 생애 1회
※ 월 임차료가 15만원 미만일 경우 실제 납부금액만 지원
□ 지급방법 : 청년이 월세(임차료) 선 납부, 납부내역 확인 후 개인별 지급",20240708 ~ 20240730,https://baro.gyeongnam.go.kr/baro/serviceView.es?service_no=266&mid=a10202000000,18,49,"주거,주거","주택 및 거주지,전월세 및 주거급여 지원"
경남 모다드림 청년통장 지원사업,매월 청년이 20만원을 적립하면 경남도와 시군에서 20만원을 추가로 적립하여 청년이 2년간 재직할 경우 만기금 960만원과 이자를 청년 근로자에게 지급,"□ 지원내용 : 도내 사업장에 근로중인 청년이 매월 일정 금액을 도ㆍ시군과 매칭ㆍ적립하여 2년 만기 재직한 경우 적립금 지급
○ (적립금액) 청년 월 20만원, 24개월 / 도ㆍ시군 월 20만원 24개월
○ (만기금액) 960만원 (이자별도)",20240708 ~ 20240728,https://www.modadream.kr/,18,39,"일자리,복지문화","재직자,문화활동"
거제시 청년 월세 지원 사업(3차),거제시 청년의 주거비 부담 경감 및 안정적 주거생활 지원,"□ 지원내용 : 10개월(2~11월)간 월 최대 15만원 임차료 지원(연 최대 150만원)
※생애 1회 지원 (′22년 사업부터 생애 1회 지원 규정 적용으로, ′22년 참여자 신청 불가) 
※월 임차료(임차보증금, 관리비 제외)가 15만원 미만일 경우 실제 납부금액만 지원

□ 지급방법 : 청년이 월세(임차료) 선 납부, 납부내역 확인 후 개인별 지급",20240708 ~ 20240719,https://baro.gyeongnam.go.kr/baro/serviceView.es?service_no=263&mid=a10202000000,19,39,"주거,주거","주택 및 거주지,전월세 및 주거급여 지원"
경남 청년 인플루언서 페스티벌 부스운영 참여자 모집,경남 청년 인플루언서 페스티벌 부스운영 참여자 모집,"□ 행사개요 
○ 기간 : 2024. 8. 9.(금) ~ 8. 11.(일), 3일간 
○ 장소 : 사천시 삼천포대교공원
○ 지원내용 : 부스 및 현수막 제공, 인플루언서 홍보 등 
- 요식업(6)
· 먹방 : 인플루언서(아미아미, 섬마을훈태, 야식이)
· 메뉴컨설팅 : 인플루언서(배정길)
- 농어업(8)
· 라이브커머스 : 인플루언서(조충현, 정승빈)
- 창업(8)
· 창업아이템 체험 : 인플루언서(가요이, 이시아)",20240701 ~ 20240714,https://youth.gyeongnam.go.kr/youth/youthPolicySearchView.es?page_no=1&mid=a10101000000&start_date=&end_date=&apply_availablity=Y&policy_title=&boardId=4&orderby=&policy_no=1444,19,39,복지문화,문화활동
2024년 면접활동비 지원사업 참여자 모집,"채용면접 참여 시, 1인 연간 최대 10만원 면접 소요비용(교통, 헤어, 메이크업 등) 지원","면접활동비 (1회 5만원, 연간 최대 2회) 지원",20240701 ~ 20240930,https://job.gwd.go.kr/gwjob/support_policy/support_apply/interview_activity_expense/interview_apply,18,64,"일자리,일자리","취업,재직자"
G밸리형 구로청년 일경험 지원사업,"4차 산업 및 디지털산업 관련 민간일자리를 창출하여 청년을 신규 채용하는 기업에는 인건비 지원, 인턴청년에게는 직무경험 체험 및 정규직 전환 기회 제공","■ 교육안내
1) 교육일정
- 24.06.10(월) ~ 24.09.02(월) (60일)
- 주 5일, 평일 09:00 ~ 18:00 (1일 8H)
2) 교육장소
- 서울시 구로구 구로디지털단지역 인근 *추후 개별 안내
3) 교육과정 소개
- 단순 취업지원이 아닌 구로구 및 서울시 관내 기업으로 인턴십 연계 (정규직 전환형)
- 3개월 인턴십 후 정규직 전환 (평균 70~80%)
- 마케팅 이론+실습+기업체 프로젝트+인턴십 후 정규직 취업 원스톱 교육
- 비전공자도 참여 가능한 디지털 마케팅 특화 과정

■ 참여혜택
- 교육 수당 지급 (1일 20,000원 / 총 60일 1,200,000원)
- 구로구 관내 G밸리 우수기업으로 3개월 간 인턴십 (세전 월 2,060,740원 최소 급여 보장)
- 현직 마케팅 실무자1:1 포트폴리오 컨설팅 제공
- 취업 성공할때 까지 무한 취업 지원",20240513 ~ 20240603,,19,34,일자리,창업
구로청년정책네트워크,"청년의 다양한 욕구와 의견을 반영한 현실적인 아이디어를 발굴하고, 민관 협의에 의한 정책을 능동적으로 실행","○ 주요활동
 - 구로구의 청년정책 등에 대한 다양한 의견 및 아이디어 제시
 - 정기회의, 분과회의 등 운영을 통한 청년정책 발굴, 제안 
 - 구 청년정책 협조 및 홍보 등

○ 위촉일(2024. 4월 중) ~ 2025년 12월 ※ 1회 연임 가능",20240320 ~ 20240416,,19,34,참여권리,청년참여
청년도전 프로젝트,청년의 구정참여 기회를 확대하고 역량강화와 자립기반 형성 지원 및 청년의 참신한 아이디어를 구정에 접목하여 지역사회 발전 도모,"지원금액: 팀당 최대 1,000만원 이내 프로젝트 사업비 차등",20240118 ~ 20240209,,19,39,참여권리,청년참여
강북구 장학생,강북구 장학기금 설치 및 운용 조례에 따라 강북구 장학생을 선발하여 지원함으로써 지역의 인재육성과 주민의 복지증진에 기여,"학비지원(1년)
 - 고등학생 : 1,000,000원 / 특수학교 : 1,000,000원 / 강북희망-서울지역기회균등전형 : 3,600,000원
 - 대학생 : 2,000,000원",20240429 ~ 20240517,,,,주거,전월세 및 주거급여 지원
융합기술 청년-기업 매칭 디지털비즈니스고도화프로젝트,"디지털비즈니스 전문성을 갖춘 기업, 청년 대상으로 인건비 지원 및 교육지원 등을 통해 지역 정착 및 지속가능한 경제구조 생성","기업 : 청년참여자 인건비 지원(1인 월 최대 160만원) | 청년 : 교육 및 컨설팅, 네트워킹, 내일 수당(매월 10만원) 지급",20240404 ~ 20240419,http://www.gdc.or.kr,0,39,일자리,창업
청년 (예비)창업가 거주시설 지원,청년 예비창업가 및 초기창업자에게 사무와 주거가 한 곳에서 가능한 임대 주택을 저렴하게 제공하여 주거 안정 및 창업기업 성장을 지원,"□ 위치 : 북구 저불로 73번길 22-3(용봉동)
□ 지원공간
○ 사무실 겸 주택 7호(2인실 2호, 3인실 5호), 세대당 전용면적 53~61㎡
○ 부대시설 : 공용시설 2호(회의실, 휴게실), 옥상텃밭
□ 임대료 : 보증금 420만원 내외, 월 임대료 35만원 내외
□ 입주기간 : 2년(심사를 거쳐 1회 연장 가능, 최장 4년)",,,0,39,"일자리,일자리","취업,재직자"
2024년 하반기 순창군 행정인턴사업 참여자 모집 안내,대학생 및 청년에게 다양한 사회경험 등 진로탐색의 기회를 제공하기 위해 「2024년 하반기 순창군 행정인턴 사업」참여자를 아래와 같이 모집,"군청 및 사업소, 읍·면 행정복지센터에서 직무경험을 할 수 있도록 하고, 1일 78,880원/8시간(시급 9,860원) 지급",20240703 ~ 20240711,,19,34,"일자리,일자리","취업,재직자"
2024년 광주광역시 청년창업 특례보증,아이디어와 기술력은 있으나 자금과 담보력이 부족한 지역 내 청년창업가를 대상으로 최대 5천만원 이내의 특례보증을 지원,"□ 대출한도 : 업체당 최대 50백만원 이내
□ 보증기간 : 1년 / 5년
□ 상환방식 : 1년 일시상환 / 1년 거치 4년 원금균등분할상환(매월)
□ 보증료율 : 연 0.5%
□ 취급금융기관 : 광주은행, NH농협은행, KB국민은행, 신한은행, 우리은행, 하나은행, IBK기업은행
□ 특이사항 : 광주광역시에서 1년차 3% 이차보전",20240311 ~ 20241231,https://www.gjsinbo.or.kr/?d=guarantee_product3_01,0,39,"일자리,일자리","취업,재직자"
구직청년 면접용 정장 대여,면접용 정장 무료 대여,"□ 면접용 정장 무료 대여
○ 대여항목 : 재킷, 셔츠, 바지, 넥타이 블라우스, 치마 등
○ 전문 디자이너가 코디, 기장 수선 등 맞춤형 서비스 제공
□ 제공업체 : 다나베 비스포크
○ 화요일은 매장 운영하지 않음
□ 대여 기간 : 3박 4일 / 1회
□ 대여 횟수 : 연 3회",20240704 ~ 20241220,,19,45,"일자리,일자리","취업,재직자"
광주 청년 면접 정장 대여 서비스,"광주 지역 청년들이 취업 대비에 필요한 면접 정장대여, 이력서 사진 촬영 서비스를 무료로 제공","□ 청년구직자 면접 정장 무료 대여(1인당 연간 5회 한도 / 대여기간 최대 3박 4일 *휴일 미포함)
○ 재킷, 바지, 스커트, 셔츠, 블라우스, 넥타이, 구두 등 정장일체(여름용 정장, 여성 바지 구비)
□ 이력서 사진 무료 촬영 서비스(1인당 연간 1회 한도 / 격주 수요일 오후 ＊사전 문의·예약 필수)
○ 1:1 매칭 포토샵 수정, 현장 사진 인화 제공 등",,https://www.todaktodakjob.com,19,39,"일자리,일자리","취업,재직자"
청년성장프로젝트,"미취업 청년의 구직단념을 사전 예방하고, 중소/중견기업 신입직원 직장적응 지원","(청년카페운영) 일상 및 구직의욕 유지를 지원하기 위한 맞춤형 프로그램 - (직장적응지원) 기업관리자, 신입직원 대상 청년친화 조직문화 교육
○교육내용 - (청년카페운영) 대상별, 기관별 맞춤형 구직단념 예방 프로그램(20시간) 
*초기상담, 경력재설계, 취업역량강화, 네트워킹지원 등 - (직장적응지원) 청년친화 조직문화 조성(10시간) *협업 커뮤니케이션 스킬, 비즈니스 매너, 갑질 예방 등 
○교육장소 : 7개소 거점 운영 - (청년카페운영) 대전일자리지원센터(중구선화동), 대전지식산업센터(동구대동), D-유니콘라운지(유성구도룡동), 청춘나들목(대전역), 청춘너나들이(서구 탄방동), 동구동락(동구 자양동) - (직장적응지원) 대전상공회의소(서구둔산동), D-유니콘라운지(유성구도룡동)",,https://youth-up.kr/growth,,,"일자리,일자리","취업,재직자"
하반기 동대문구 동행일자리 사업 참여자 모집,취업취약계층을 대상으로 경제활동 기회 제공 및 생계지원 사업,경제활동 기회 제공 및 생계지원 사업,20240627 ~ 20240703,,18,39,"일자리,일자리","재직자,창업"
용산구 일자리기금 청년기업 융자지원,경기침체 장기화로 어려움을 겪고 있는 청년기업의 활동을 지원하고자 우리구 일자리기금으로 저금리 융자 지원,"□ 융자조건
○ 중소기업 (상시근로자수 5인이상)
- 업체당 융자한도 : 1억원 이내,
- 용도 : 경영안정자금, 시설자금, 임차보증금
- 대출금리 : 연 1.5%
- 상환방법 : 1년거치4년 균등상환
- 담보제공: 부동산담보 신용보증서

○ 소상공인 (상시근로자수 5인미만)
- 업체당 융자한도 : 5천만원 이내
- 대출금리 : 연 1.5%
- 상환방법 : 1년거치4년 균등상환
- 담보제공: 부동산담보 신용보증서",20240201 ~ 20241130,https://www.yongsan.go.kr,0,39,"일자리,일자리","취업,재직자"
청년심리지원프로그램  나에게 건네는 마음 인사,청년심리지원을 위한 심리상담가가 진행하는 인지행동치료 집단프로그램,"- 심리상담가가 진행하는 인지행동치료 집단프로그램
- 2024.07.05. ~07.26.(매주 금) 15:00~16:30",20240621 ~ 20240704,,20,39,"복지문화,참여권리","건강,청년국제교류"
중구일자리플러스센터,"취업 희망 주민과 구인업체를 서로 연계하여, 기업에 맞는 맞춤형 인재를 알선하고 구민에게는 양질의 일자리를 제공해 주는 창구 사업",취업절차 : 지원서제출 ⇒ 지원서관리 ⇒ 기업연계 ⇒ 민간일자리 직접 연계,,https://job.seoul.go.kr/junggu,,,"일자리,일자리","취업,재직자"
청년 소상공인을 위한 고민상담소,"""행복잇다 사회적협동조합""에서는 서울시민의 행복감 증진을 위한 심리상담 및 교육  등을 진행하고  ""청년 소상공인을 위한 심리교육"" 프로그램",청년 소상공인을 위한 심리교육,20240621 ~ 20241231,,19,34,"교육,일자리,교육","미래역량강화,창업,온라인교육"
"청년, 동네 건강 이음 프로젝트 공모전",‘권역별 맞춤형 건강돌봄 건강이랑서비스’의 일환으로 주민 건강 공동체 활성화를 위한 청년 활동가를 양성 사업,"□ 공모개요
 ○ 공 모 명 :「청년, 동네 건강 이음 프로젝트 공모전」
 ○ 응모기간 : 2024. 6. 25.(화) ~ 7. 19.(금) ○ 분 야 : 지역사회 건강 생태계 조성을 위한 건강공동체 활성화
 ○ 주 제 : 건강 서로 돌봄 문화 인식과 가치를 확산할 수 있는 아이디어

□ 결과 발표 및 시상 내역
 ○ 결과 발표 : 2024. 10월 중순(예정), 종로구청 및 종로구보건소 홈페이지 공개
 ○ 시상 규모 : 구청장 표창 및 상금(총 6백만 원) 수여

□ 특 전
 ○ 우수 아이디어(대상, 최우수상, 우수상)로 선정된 청년 그룹은 향후 건강이랑
 서비스 지역활동가(기간제근로자) 채용 시 가점 부여
 ※ 기간제근로자 채용 심사 시 그룹 단위가 아닌 개별 평가 실시",20240625 ~ 20240719,,19,39,"복지문화,참여권리","건강,청년국제교류"
광주일자리종합지원센터 취업지원,"취업정보 제공 및 취업지원 사업을 통해 지역 청년들의 취업 역량을 강화하고, 취업률을 높이고자 합니다.","□ 구인·구직 맞춤형 취업상담서비스 제공
○ 구인·구직 신청·접수, 취업컨설팅(이력서, 자기소개서, 모의면접 등)
○ 구인·구직 정보제공, 취업상담알선, 동행면접 등

□ 취업지원사업 실시
○ 미니취업박람회, 청년 일자리로드쇼, 찾아가는 만남의 날, 취업지원 네트워크 운영
○ 대학교 취업 지원 실무자협의회, 취업 멘토 특강, 찾아가는 일자리카페 운영 등

□ 광주일자리종합센터 운영(시청 / 청년일자리카페) : 취업상담·알선 및 취업지원서비스
○ 구인업체 발굴 : 적합한 인재정보 제공
○ 구직자 모집 : 맞춤형 채용정보 제공
○ 구인·구직 매칭 : 구인·구직자 취업알선 및 연계
○ 취업 : 사후관리",,,,,"일자리,일자리","취업,재직자"
군 복무 청년 상해보험 가입(동작구),동작구에 주민등록을 둔 군 복무 청년이면 별도의 가입 절차 없이 입대 시 단체 상해보험에 자동 가입돼 안전하게 국토방위 의무를 전념할 수 있도록 지원,"□ 군 복무 기간 중 휴가, 외출 시 발생하는 상해에 대해서 보험금 지원(타 보험과 중복 보상 가능)
 ㅇ 보장 항목: 총 13개로 상해·질병 사망 시 5000만 원, 상해·질병 후유장해 시 2000만 원, 상해·질병입원 시 2만 원(일당) 등 보상",,,,,"참여권리,참여권리,참여권리","청년참여,정책인프라구축,청년국제교류"
동작 청년 1인가구 무료 건강검진,혼자서도 건강하게 동작 청년 1인가구 대상 무료 건강검진 지원 사업,"□ 맞춤형 무료 건강검진서비스 연 1회 제공

□ 검진 항목 : 총 46종
- (기초 검사) 신장, 체중, 비만도, 혈압
- (흉부방사선 검사) 결핵 유무
- (혈액 검사) 혈액학 검사 8종(빈혈), 당뇨, 간기능 9종, 신장기능 3종, 고지혈증 3종, 간염검사(A·B형), 갑상선(TSH), 성병(HIV,매독)
- (소변 검사) 당, 단백, 요잠혈, pH, 빌리루빈, 유로빌리노젠, 케톤체, 아질산염, 백혈구뇨, 비중",,,19,39,"복지문화,복지문화","건강,문화활동"
강남 청년의 날 행사,"법정기념일인 청년의 날(9월 셋째주 토요일)을 기념하여 청년의 권리보장 및 청년발전의 중요성을 알리고, 청년문제에 대한 관심제고를 위하여 기념행사 개최","청년문화행사, 청년정책 경진대회, 체험·홍보부스 운영 등",,,19,39,"일자리,참여권리","취업,권익보호"
혁신인재육성 아카데미(특성화고 3학년 대상),"4차 산업혁명, 디지털대전환 시대에 맞는 우수 혁신인재 육성을 위한 교육 프로그램 운영 및 특성화고 학생 취업역량 강화를 통해 산업현장에 즉시 투입 가능한(Ready-to-Work) 맞춤형 디지털 실무 인재 양성","- 서울로봇고	 : 네트워크 관리사 자격증 취득 과정, 2024. 7월~9월
- 수도공고 :	SW 코딩마스터 양성 과정	,2024. 3월~7월
※ 매년 사업 추진상황에 따라 교육과정 및 시기(기간)는 달라질 수 있음",,,,,"일자리,교육,일자리","취업,미래역량강화,재직자"
청년취업사관학교 강남캠퍼스,청년 구직자 디지털 역량 강화를 통한 청년 일자리 미스매칭 해소 사업,"○ 교육과정
- SW 개발 교육 : AI 과정 등 4개 과정 (강남형 특화교육(모빌리티 분야) 포함)
- 디지털전환(DT) 교육 : 1개 과정

○ 취·창업지원
- 잡코디, 매칭데이 개최, 직무체험 캠프 등 밀착 취업 지원
- BM / 법률 / 회계 등 멘토단 구성, 교육(수료)생 창업 자문",,,,,"일자리,일자리","취업,재직자"
청년 취업아카데미,만 19세 이상 강남구 거주 미취업 청년을 대상으로 직업훈련을 실시 및 취업연계 지원 사업,"- 교육내용 : 인공지능 자격증 취득교육 (KT AICE BASIC 과정)
- 교육기간: 7.25.(목)~8.21.(수), 매주 월·화·목·금 10시-18시
     * 미니 컨퍼런스 및 수료식: 8.21.(수) 10시-18시
- 교육장소: 충현교회 제3교육관 (강남구 논현로 98길 22)",20240626 ~ 20240710,https://forms.gle/W8PimNL9xkcEA26A8,19,39,"일자리,일자리","재직자,창업"
[울진군] 포항고용센터 구직자 취업역량 강화 프로그램,포항고용복지플러스센터 주관 단기집단 취업지원 프로그램,"- 운영일시 : 2024. 7. 17.(수) 오후 1시~ 

- 운영장소 : 울진청년일자리센터(울진읍 읍내로 57-6) 

- 주요내용 
가. 1일 3시간 과정 취업지원 교육(구직활동 인정) 
나. 변화하는 직업세계 이해, 일자리 정보탐색, 서류 및 면접 준비 등 구직기술 향상 지원 
다. 사후관리(일자리 매칭 등)",,http://gbyouth.co.kr/policy/list.tc?mn=2379&pageNo=5069&no=649,19,49,"일자리,교육,교육","취업,미래역량강화,온라인교육"
방송통신위원회 2030 자문단 모집,방송통신 정책 전반에 대해 청년세대의 인식을 전하는 핵심 창구 역할을 수행할 정책 자문단 모집,"ㅇ 주요 역할
- 방송통신분야 정책 모니터링 및 정책 제언
- 방송통신분야 정책 관련 청년세대 여론 수렴 및 전달
- 기타 청년정책 과제 발굴 및 제안 등
 * 관련분야 : 방송(광고) 정책, 이용자보호 정책, 디지털·미디어 공정경쟁 정책, 디지털·미디어 접근권 보장 정책
** 정책자문 활동, 회의 참석 등에 따라 소정의 수당 등 지급",20240626 ~ 20240710,https://www.2030db.go.kr,19,39,"참여권리,참여권리","정책인프라구축,권익보호"
제주청년센터 [사회생활 연습실: 우찾사] 참여자 모집 공고,제주도 미취업 청년들이 사회 고립상태에서 벗어나 가상의 회사생활을 통해 안정적인 사회 진입의 발판을 마련할수있는 사업 추진,"□ 모집인원: 제주도 내 미취업 청년(19-39세) *연령 기준은 모집공고일(2024. 5. 24.) 기준으로 확인함.
□ 모집규모: 총 15명 내외
□  지원조건

  [필수] 제주지역에서 거주하는 청년(19-39세)

  [필수] 평일(10:00~17:00) 온·오프라인 활동을 참여할 수 있는 청년

  [추천] 가상회사로 출·퇴근하며 또래 동료들을 만나고 싶은 청년

  [추천] 일상에 루틴을 되찾고 싶은 청년

■ 활동혜택

  [개인] 활동 참여율 90%에 달성 시 주 50,000원 (*활동 참여율: 온·오프라인 활동 총 참여율)

  [팀] 개인당 1주 활동비 30,000원(※팀으로 활동하지 않을 시 지급 불가)",20240527 ~ 20240607,,19,39,참여권리,청년참여
