NO,시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세금(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
17,경기도 고양시 일산동구 풍동,1***,12m미만,50.5,월세,202507,4,"2,000",60,2013,숲속마을2로,202508~202708,신규,-,,,단독다가구
18,경기도 화성시 장안면 수촌리,3**,12m미만,52,월세,202507,4,"1,000",52,1978,수정로,202507~202607,신규,-,,,단독다가구
19,경기도 안양시 만안구 안양동,4**,8m미만,20,월세,202507,4,300,25,1985,만안로91번길,202507~202607,신규,-,,,단독다가구
20,경기도 용인시 기흥구 보라동,5**,12m미만,135.73,전세,202507,4,"17,000",0,2008,한보라2로28번길,202509~202709,신규,-,,,단독다가구
21,전북특별자치도 완주군 봉동읍 둔산리,8**,25m미만,20,월세,202507,4,300,19,2014,원둔산4길,202507~202607,신규,-,,,단독다가구
22,충청북도 청주시 서원구 모충동,4**,25m미만,56.87,월세,202507,4,"1,000",50,2020,매봉로,202507~202607,신규,-,,,단독다가구
23,경기도 광주시 초월읍 쌍동리,1**,8m미만,52,전세,202507,4,"14,000",0,2014,도곡길,202508~202707,신규,-,,,단독다가구
24,충청북도 음성군 대소면 태생리,7*,12m미만,50,월세,202507,4,500,45,2023,소석로,202507~202607,신규,-,,,단독다가구
25,강원특별자치도 홍천군 북방면 소매곡리,1**,8m미만,210,월세,202507,4,0,35,2009,소매곡길,202507~202607,신규,-,,,단독다가구
26,경기도 용인시 기흥구 신갈동,4*,8m미만,30,전세,202507,4,"3,500",0,2002,신갈로96번길,202507~202807,갱신,-,"3,500",0,단독다가구
27,경기도 고양시 일산동구 정발산동,6**,8m미만,58,전세,202507,4,"11,000",0,1997,대산로11번길,202507~202707,갱신,-,"10,000",10,단독다가구
28,경기도 고양시 일산동구 정발산동,1***,8m미만,94.46,월세,202507,4,"6,000",80,2015,일산로372번길,202509~202709,신규,-,,,단독다가구
29,경상남도 양산시 물금읍 범어리,2***,12m미만,39.66,월세,202507,4,500,40,2012,화합4길,202507~202607,신규,-,,,단독다가구
30,경기도 안양시 만안구 안양동,8**,8m미만,35,전세,202507,4,"5,000",0,1989,박달로578번길,202508~202708,신규,-,,,단독다가구
31,제주특별자치도 제주시 구좌읍 평대리,2***,12m미만,98.57,월세,202507,4,"1,000",142,2017,다랑쉬북로,202507~202607,신규,-,,,단독다가구
32,경기도 고양시 일산동구 백석동,1***,12m미만,56,월세,202507,4,"1,000",60,1996,강송로74번길,202508~202708,신규,-,,,단독다가구
33,경기도 화성시 향남읍 행정리,4**,25m미만,24,전세,202507,4,"3,500",0,2012,행정서로3길,202507~202707,신규,-,,,단독다가구
34,충청남도 서산시 인지면 차리,2**,8m미만,131.43,월세,202507,4,300,20,2012,차리강수길,202507~202807,신규,-,,,단독다가구
35,전라남도 나주시 왕곡면 덕산리,8**,12m미만,20.32,월세,202507,4,200,33,2020,덕산중앙길,202507~202607,신규,-,,,단독다가구
36,경기도 안산시 상록구 월피동,4**,8m미만,80,전세,202507,4,"1,000",0,2000,광덕산안길,202507~202707,신규,-,,,단독다가구
37,충청남도 아산시 배방읍 북수리,1***,12m미만,21.9,월세,202507,4,500,45,2021,월천8길,202507~202607,신규,-,,,단독다가구
38,충청북도 청주시 흥덕구 복대동,3***,12m미만,36,월세,202507,4,300,40,2009,진재로103번길,202507~202607,신규,-,,,단독다가구
39,경상남도 창원시 성산구 사파동,1**,12m미만,197.13,월세,202507,4,"7,000",45,1991,창이대로648번길,202508~202708,신규,-,,,단독다가구
40,경기도 남양주시 오남읍 양지리,3**,8m미만,33,월세,202507,4,"1,000",50,2018,진건오남로912번길,202508~202708,신규,-,,,단독다가구
41,경기도 안양시 만안구 안양동,9**,25m미만,24,월세,202507,4,"1,000",53,1990,양화로,202507~202707,신규,-,,,단독다가구
42,경상남도 창원시 성산구 가음동,*,12m미만,33,월세,202507,4,500,40,2016,가음정로23번길,202507~202701,신규,-,,,단독다가구
43,경기도 수원시 영통구 원천동,2**,12m미만,19.8,월세,202507,4,"2,000",13,2008,삼성로267번길,202507~202606,신규,-,,,단독다가구
44,경기도 안산시 상록구 일동,6**,25m미만,54,전세,202507,4,"9,000",0,2007,안산대학로,202507~202707,신규,-,,,단독다가구
45,경기도 성남시 분당구 분당동,1**,8m미만,50,전세,202507,4,"18,000",0,1998,분당로327번길,-,-,-,,,단독다가구
46,경상남도 거창군 거창읍 양평리,1**,8m미만,135.99,월세,202507,4,"3,000",100,2023,당동1길,202507~202707,신규,-,,,단독다가구
47,대구광역시 달성군 다사읍 죽곡리,8**,25m미만,50,월세,202507,4,"1,000",43,2012,대실역남로3길,202507~202707,신규,-,,,단독다가구
48,경상남도 창원시 성산구 가음동,*,12m미만,55,월세,202507,4,"2,000",65,2016,가음정로11번길,202507~202707,신규,-,,,단독다가구
49,충청남도 아산시 신창면 읍내리,2**,8m미만,34.65,월세,202507,4,100,65,,서부남로,202507~202607,갱신,사용,100,65,단독다가구
50,전북특별자치도 전주시 덕진구 금암동,1**,8m미만,18,월세,202507,4,0,33,1990,모래내5길,202507~202607,신규,-,,,단독다가구
51,대구광역시 달성군 현풍읍 부리,3**,8m미만,28.56,월세,202507,4,500,27,2014,현풍동로27길,202507~202607,신규,-,,,단독다가구
52,경상북도 예천군 예천읍 대심리,4**,8m미만,30,월세,202507,4,200,35,2016,대심1길,202507~202607,신규,-,,,단독다가구
53,세종특별자치시  연기면 보통리,3**,8m미만,22,월세,202507,4,100,30,2013,공단로,202507~202601,신규,-,,,단독다가구
54,충청북도 청주시 흥덕구 봉명동,9**,12m미만,125.1,전세,202507,4,"10,000",0,1989,1순환로577번길,202507~202707,신규,-,,,단독다가구
55,경기도 용인시 수지구 풍덕천동,1***,12m미만,21.5,월세,202507,4,500,50,,포은대로362번길,202507~202607,신규,-,,,단독다가구
56,경기도 안양시 동안구 관양동,1***,8m미만,40,전세,202507,4,"13,000",0,2015,관평로336번길,202508~202708,신규,-,,,단독다가구
57,대구광역시 중구 수동,8*,12m미만,23,월세,202507,4,300,36,1997,약령길,202507~202607,신규,-,,,단독다가구
58,경기도 수원시 영통구 매탄동,5**,8m미만,35,전세,202507,4,"7,000",0,2003,신원로,202507~202707,신규,-,,,단독다가구
59,경기도 안양시 만안구 안양동,8**,8m미만,20,월세,202507,4,300,30,1985,안양로369번길,202507~202707,신규,-,,,단독다가구
60,경기도 수원시 영통구 하동,9**,25m미만,130,전세,202507,4,"38,000",0,2014,법조로149번길,202508~202708,갱신,-,"35,000",0,단독다가구
61,경상남도 사천시 사남면 월성리,5**,12m미만,32.34,월세,202507,4,500,42,2019,조동길,202507~202607,신규,-,,,단독다가구
62,경상남도 창원시 성산구 중앙동,4*,12m미만,27,월세,202507,4,300,40,2015,외동반림로6번길,202507~202607,신규,-,,,단독다가구
63,경기도 안양시 만안구 안양동,6**,25m미만,13.2,월세,202507,4,300,39,2017,안양로323번길,202507~202607,신규,-,,,단독다가구
64,전북특별자치도 전주시 덕진구 송천동1가,3**,8m미만,30,월세,202507,4,"1,000",35,2016,송천1길,202507~202607,신규,-,,,단독다가구
65,서울특별시 송파구 문정동,1**,8m미만,30,월세,202507,4,"5,000",6,1988,송이로34길,202507~202707,갱신,-,"4,500",6,단독다가구
66,경기도 용인시 기흥구 보정동,1***,25m미만,26.4,전세,202507,4,"9,000",0,2008,신촌로73번길,202508~202708,갱신,-,"8,900",0,단독다가구
67,서울특별시 마포구 망원동,4**,8m미만,32,월세,202507,4,"2,000",65,1993,망원로8길,202508~202708,신규,-,,,단독다가구
68,서울특별시 마포구 합정동,4**,8m미만,39,월세,202507,4,"1,000",60,1995,월드컵로7길,202507~202707,신규,-,,,단독다가구
69,서울특별시 송파구 방이동,1**,8m미만,45,월세,202507,4,"1,000",65,1995,위례성대로2길,202507~202707,갱신,사용,"1,000",65,단독다가구
70,서울특별시 관악구 신림동,5**,12m미만,15,월세,202507,4,300,38,2009,남부순환로143길,202507~202607,신규,-,,,단독다가구
71,서울특별시 용산구 이태원동,7*,8m미만,37.14,월세,202507,4,"1,000",70,1990,녹사평대로26가길,202507~202707,신규,-,,,단독다가구
72,충청북도 청주시 상당구 용암동,1***,12m미만,40,전세,202507,4,"3,500",0,1997,무농정로2번길,202507~202707,신규,-,,,단독다가구
73,서울특별시 강동구 상일동,2**,8m미만,33.48,전세,202507,4,"10,000",0,1988,상일로7길,202507~202707,신규,-,,,단독다가구
74,충청남도 천안시 동남구 신방동,1***,12m미만,20,월세,202507,4,300,33,2015,통정2길,202507~202607,신규,-,,,단독다가구
75,서울특별시 마포구 창전동,4**,8m미만,20,월세,202507,4,500,49,1968,독막로,202508~202708,신규,-,,,단독다가구
76,서울특별시 마포구 신수동,2**,8m미만,39,월세,202507,4,"2,000",85,1995,독막로32길,202507~202707,신규,-,,,단독다가구
77,서울특별시 용산구 청파동1가,8*,8m미만,31.6,전세,202507,4,"6,000",0,1997,청파로71길,202507~202707,갱신,-,"6,000",0,단독다가구
78,서울특별시 광진구 군자동,9*,8m미만,15,월세,202507,4,300,55,2011,천호대로104길,202507~202607,신규,-,,,단독다가구
79,서울특별시 중랑구 신내동,4**,12m미만,243.98,월세,202507,4,"1,000",45,1990,망우로65길,202507~202707,신규,-,,,단독다가구
80,서울특별시 용산구 한강로3가,6*,8m미만,26.45,전세,202507,4,"10,000",0,1958,한강대로14다길,202507~202707,신규,-,,,단독다가구
81,서울특별시 성동구 송정동,6*,8m미만,23,전세,202507,4,"4,500",0,1990,송정6길,202507~202707,신규,-,,,단독다가구
82,서울특별시 노원구 공릉동,5**,12m미만,16,월세,202507,4,"1,000",45,2017,동일로184길,202508~202608,신규,-,,,단독다가구
83,서울특별시 서대문구 남가좌동,*,8m미만,199.72,월세,202507,4,"3,000",23,2020,명지대5길,202508~202608,신규,-,,,단독다가구
84,서울특별시 중랑구 면목동,3**,8m미만,35,전세,202507,4,"21,000",0,,면목로31길,202509~202709,신규,-,,,단독다가구
85,서울특별시 서초구 반포동,7**,12m미만,26.42,월세,202507,4,"1,000",60,1996,사평대로53길,202507~202607,신규,-,,,단독다가구
86,서울특별시 서대문구 연희동,3**,8m미만,19,월세,202507,4,200,30,1997,연희로10길,202507~202607,신규,-,,,단독다가구
87,충청북도 청주시 상당구 용암동,3***,12m미만,25.55,월세,202507,4,"1,000",60,2023,중고개로125번길,202507~202607,신규,-,,,단독다가구
88,서울특별시 용산구 청파동3가,1**,8m미만,16,월세,202507,4,"1,000",60,2002,청파로43길,202508~202707,신규,-,,,단독다가구
89,서울특별시 용산구 청파동2가,7*,8m미만,18,월세,202507,4,"1,000",60,2012,청파로49길,202508~202701,신규,-,,,단독다가구
90,서울특별시 강동구 고덕동,1**,8m미만,82.24,전세,202507,4,"28,000",0,1987,고덕로79길,202507~202707,갱신,-,"25,000",0,단독다가구
91,서울특별시 동대문구 답십리동,6*,8m미만,25,전세,202507,4,"6,000",0,2008,답십리로,202507~202707,신규,-,,,단독다가구
92,경기도 화성시 산척동,6**,12m미만,220.77,월세,202507,4,"10,000",350,2023,동탄산척로2다길,202508~202708,신규,-,,,단독다가구
93,경기도 수원시 영통구 신동,3**,12m미만,26,월세,202507,4,"5,000",45,2018,신원로,-,-,-,,,단독다가구
94,서울특별시 서대문구 연희동,1**,8m미만,21,월세,202507,4,"1,000",65,2011,연희로12길,202508~202608,신규,-,,,단독다가구
95,서울특별시 동작구 상도동,3**,8m미만,241,전세,202507,4,"38,000",0,1975,상도로13가길,202507~202707,갱신,-,"30,000",0,단독다가구
96,서울특별시 동작구 상도동,1**,8m미만,65.86,월세,202507,4,"5,000",80,1993,상도로62가길,202507~202707,신규,-,,,단독다가구
97,충청북도 청주시 상당구 용암동,2***,12m미만,38.59,월세,202507,4,500,41,2003,낙영로8번길,202507~202610,신규,-,,,단독다가구
98,서울특별시 동작구 상도동,2**,8m미만,19,월세,202507,4,"1,000",63,2018,양녕로25길,202508~202702,신규,-,,,단독다가구
99,경기도 성남시 수정구 창곡동,5**,25m미만,46.61,전세,202507,4,"24,000",0,2015,위례서일로3길,202508~202708,신규,-,,,단독다가구
100,서울특별시 동작구 노량진동,2**,8m미만,65.44,전세,202507,4,"40,200",0,1991,장승배기로27가길,202507~202707,신규,-,,,단독다가구
101,서울특별시 성북구 안암동2가,1**,8m미만,70.36,월세,202507,4,"4,500",90,1997,고려대로12길,202508~202708,신규,-,,,단독다가구
102,서울특별시 광진구 능동,1**,8m미만,34.42,월세,202507,4,"4,000",25,1991,천호대로114길,202507~202707,신규,-,,,단독다가구
103,경기도 수원시 팔달구 우만동,5**,12m미만,36,월세,202507,4,500,45,2011,경수대로642번길,202508~202708,신규,-,,,단독다가구
104,서울특별시 중랑구 면목동,3**,25m미만,68.92,전세,202507,4,"20,000",0,2003,면목로27길,202508~202708,신규,-,,,단독다가구
105,서울특별시 중랑구 면목동,1**,8m미만,170.48,월세,202507,4,"1,000",20,1991,중랑천로2길,202507~202607,신규,-,,,단독다가구
106,서울특별시 영등포구 대림동,7**,25m미만,94.5,전세,202507,4,"22,000",0,1983,대림로27가길,202507~202707,신규,-,,,단독다가구
107,서울특별시 강남구 역삼동,8**,8m미만,16.5,월세,202507,4,78,78,2012,테헤란로6길,202507~202607,신규,-,,,단독다가구
108,서울특별시 관악구 신림동,1*,8m미만,14,전세,202507,4,"6,000",0,2011,남부순환로190길,202508~202602,신규,-,,,단독다가구
109,경기도 성남시 분당구 야탑동,2**,8m미만,26,월세,202507,4,"1,000",40,1997,야탑로139번길,202507~202707,신규,-,,,단독다가구
110,경기도 성남시 분당구 야탑동,5**,8m미만,28.95,전세,202507,4,"13,000",0,2000,판교로562번길,202507~202707,신규,-,,,단독다가구
111,서울특별시 동대문구 전농동,2**,8m미만,37.4,월세,202507,4,"5,000",35,1996,답십리로23다길,202509~202709,신규,-,,,단독다가구
112,경기도 성남시 분당구 백현동,6**,12m미만,60,월세,202507,4,"10,000",80,2010,동판교로52번길,202507~202707,신규,-,,,단독다가구
113,서울특별시 영등포구 도림동,1**,8m미만,55.5,월세,202507,4,"4,200",50,1991,도신로29나길,202508~202708,신규,-,,,단독다가구
114,서울특별시 종로구 창신동,6**,8m미만,67.32,전세,202507,4,"13,000",0,1986,창신길,202507~202907,갱신,-,"11,000",0,단독다가구
115,서울특별시 영등포구 당산동3가,3**,8m미만,20,전세,202507,4,"16,000",0,2019,당산로24길,202508~202708,신규,-,,,단독다가구
116,서울특별시 강남구 신사동,5**,8m미만,27,월세,202507,4,"1,000",65,1996,논현로161길,202508~202602,갱신,-,"1,000",65,단독다가구
117,서울특별시 강남구 신사동,5**,8m미만,45,월세,202507,4,"2,000",60,2000,강남대로154길,202505~202604,신규,-,,,단독다가구
118,서울특별시 성북구 정릉동,1*,8m미만,19.83,월세,202507,4,500,40,1991,정릉로38길,202507~202707,신규,-,,,단독다가구
119,서울특별시 광진구 중곡동,2**,8m미만,68.36,전세,202507,4,"20,100",0,1974,긴고랑로12길,202507~202707,갱신,-,"20,000",0,단독다가구
120,경상북도 포항시 남구 오천읍 원리,9**,12m미만,40,월세,202507,4,"2,000",19,2012,냉천로270번길,202507~202701,신규,-,,,단독다가구
121,서울특별시 중구 신당동,3**,8m미만,13.2,월세,202507,4,300,25,1986,다산로20길,202507~202707,신규,-,,,단독다가구
122,서울특별시 중구 신당동,2**,8m미만,55.64,전세,202507,4,"23,000",0,2001,다산로33가길,202507~202707,신규,-,,,단독다가구
123,서울특별시 금천구 가산동,1**,12m미만,27,전세,202507,4,"16,000",0,,시흥대로145길,202508~202708,신규,-,,,단독다가구
124,서울특별시 종로구 숭인동,6*,8m미만,33.06,월세,202507,4,"1,000",57,1991,지봉로8길,202507~202707,신규,-,,,단독다가구
125,충청남도 천안시 서북구 두정동,7**,12m미만,50,월세,202507,4,500,57,2010,오성3길,202507~202607,신규,-,,,단독다가구
126,서울특별시 구로구 개봉동,2**,8m미만,43,월세,202507,4,"7,000",30,1981,남부순환로97길,202507~202707,신규,-,,,단독다가구
127,서울특별시 구로구 개봉동,4**,25m미만,19,월세,202507,4,500,45,1987,개봉로20길,202507~202607,신규,-,,,단독다가구
128,서울특별시 구로구 개봉동,6*,8m미만,31,월세,202507,4,500,40,1993,고척로16길,202507~202707,신규,-,,,단독다가구
129,서울특별시 용산구 후암동,4*,8m미만,73.25,월세,202507,4,"3,000",110,1997,두텁바위로69길,202508~202708,신규,-,,,단독다가구
130,서울특별시 관악구 신림동,1*,8m미만,18,월세,202507,4,"2,000",48,2023,남부순환로190가길,202507~202707,신규,-,,,단독다가구
131,서울특별시 강동구 암사동,4**,12m미만,15,월세,202507,4,300,30,1989,구천면로47길,202507~202707,신규,-,,,단독다가구
132,서울특별시 관악구 봉천동,5*,8m미만,32.61,월세,202507,4,"1,000",60,1992,은천로28가길,202509~202709,신규,-,,,단독다가구
133,서울특별시 구로구 가리봉동,1**,8m미만,30,전세,202507,4,"18,000",0,2020,우마2길,202508~202708,신규,-,,,단독다가구
134,서울특별시 동대문구 휘경동,2**,8m미만,26,전세,202507,4,"9,000",0,2016,망우로16길,202507~202707,신규,-,,,단독다가구
135,경기도 수원시 팔달구 화서동,2**,12m미만,35,전세,202507,4,"5,400",0,1988,화양로29번길,202507~202707,신규,-,,,단독다가구
136,서울특별시 동작구 사당동,1***,8m미만,19.83,월세,202507,4,"2,000",60,2017,동작대로17길,202507~202707,신규,-,,,단독다가구
137,경상남도 창원시 마산합포구 신흥동,*,12m미만,38,월세,202507,4,"1,000",32,2012,중앙남3길,202507~202607,신규,-,,,단독다가구
138,서울특별시 광진구 자양동,2**,8m미만,30,월세,202507,4,"1,000",40,1991,아차산로46길,202508~202708,갱신,-,"1,000",35,단독다가구
139,서울특별시 강서구 공항동,6*,8m미만,70.59,월세,202507,4,500,40,1990,남부순환로5길,202507~202707,신규,-,,,단독다가구
140,서울특별시 강서구 공항동,6**,8m미만,40.84,전세,202507,4,"13,000",0,1989,방화대로7나길,202507~202707,신규,-,,,단독다가구
141,충청북도 청주시 흥덕구 오송읍 만수리,6**,12m미만,32,월세,202507,4,500,50,2019,만수1길,202507~202607,신규,-,,,단독다가구
142,충청북도 청주시 청원구 우암동,1**,12m미만,20,월세,202507,4,100,35,2008,대성로280번길,202507~202607,신규,-,,,단독다가구
143,서울특별시 광진구 자양동,6**,8m미만,37,월세,202507,4,500,46,1996,뚝섬로51길,202508~202708,신규,-,,,단독다가구
144,경상북도 포항시 북구 장성동,1***,12m미만,35,월세,202507,4,300,40,2007,법원로11번길,202508~202608,갱신,-,300,40,단독다가구
145,서울특별시 동작구 사당동,4**,8m미만,15,월세,202507,4,"10,000",10,2018,남부순환로259길,202508~202707,신규,-,,,단독다가구
146,서울특별시 성동구 성수동2가,3**,25m미만,35,전세,202507,4,"17,000",0,1985,성수일로,202507~202707,갱신,-,"15,750",0,단독다가구
147,경기도 수원시 팔달구 매교동,1**,8m미만,48.43,월세,202507,4,500,47,1995,정조로623번길,202507~202707,신규,-,,,단독다가구
148,서울특별시 강동구 천호동,1**,8m미만,215.19,월세,202507,4,"1,000",40,1989,진황도로31길,202508~202708,신규,-,,,단독다가구
149,서울특별시 강서구 화곡동,8**,8m미만,46.61,월세,202507,4,700,50,1978,곰달래로49가길,202507~202707,신규,-,,,단독다가구
150,서울특별시 강서구 화곡동,1***,8m미만,18.36,월세,202507,4,500,55,2010,강서로35길,202507~202707,신규,-,,,단독다가구
151,서울특별시 강동구 암사동,4**,8m미만,27,전세,202507,4,"12,000",0,2017,구천면로57길,202508~202708,신규,-,,,단독다가구
152,서울특별시 종로구 동숭동,1**,8m미만,33,월세,202507,4,"4,000",60,1996,이화장길,202508~202708,신규,-,,,단독다가구
153,서울특별시 은평구 신사동,3**,8m미만,38.76,월세,202507,4,500,40,1990,은평터널로7길,202507~202707,신규,-,,,단독다가구
154,서울특별시 은평구 신사동,*,8m미만,26.51,월세,202507,4,500,55,2018,갈현로2길,202507~202707,신규,-,,,단독다가구
155,전북특별자치도 전주시 덕진구 만성동,1***,12m미만,54.27,월세,202507,4,"13,000",10,2019,만성북3길,202507~202707,신규,-,,,단독다가구
156,서울특별시 송파구 가락동,1**,8m미만,34.56,월세,202507,4,"3,000",50,1988,오금로38길,202509~202709,신규,-,,,단독다가구
157,서울특별시 중랑구 망우동,4**,8m미만,19,월세,202507,4,"1,000",30,1983,용마공원로5길,202507~202707,신규,-,,,단독다가구
158,경기도 고양시 덕양구 삼송동,3**,12m미만,58,전세,202507,4,"20,000",0,2014,세솔로1길,202509~202709,갱신,-,"20,000",0,단독다가구
159,서울특별시 양천구 신월동,1**,25m미만,59.4,월세,202507,4,"2,000",59,1995,곰달래로13길,202507~202703,갱신,-,"2,000",56,단독다가구
160,서울특별시 강북구 미아동,9*,25m미만,150.81,전세,202507,4,"9,000",0,1991,오현로8길,202507~202707,신규,-,,,단독다가구
161,서울특별시 용산구 후암동,2**,8m미만,28,월세,202507,4,"1,000",65,2002,후암로28바길,202508~202708,신규,-,,,단독다가구
162,경기도 성남시 수정구 태평동,4***,8m미만,37,전세,202507,4,"10,000",0,1984,제일로232번길,-,-,-,,,단독다가구
163,서울특별시 서대문구 창천동,1*,8m미만,13,전세,202507,4,"9,000",0,2007,연세로2다길,202507~202707,신규,-,,,단독다가구
164,서울특별시 양천구 목동,5**,8m미만,15,월세,202507,4,500,50,2011,목동중앙북로10길,202507~202607,신규,-,,,단독다가구
165,서울특별시 광진구 자양동,6**,12m미만,30,월세,202507,4,"3,000",55,2019,자양로15길,202507~202707,신규,-,,,단독다가구
166,서울특별시 서대문구 창천동,1**,8m미만,30,월세,202507,4,"1,000",110,2002,신촌로7길,202507~202707,신규,-,,,단독다가구
167,서울특별시 서대문구 창천동,1**,8m미만,21,월세,202507,4,500,50,2002,신촌로9길,202507~202607,신규,-,,,단독다가구
168,서울특별시 송파구 마천동,1**,8m미만,35,월세,202507,4,"1,000",35,1984,마천로45길,202507~202707,신규,-,,,단독다가구
169,전북특별자치도 전주시 덕진구 송천동1가,3**,8m미만,50,월세,202507,4,500,45,2016,송천중앙로,202507~202607,신규,-,,,단독다가구
170,서울특별시 마포구 상암동,*,8m미만,51.72,전세,202507,4,"20,000",0,1998,성암로15길,202507~202707,갱신,-,"20,000",0,단독다가구
171,서울특별시 도봉구 방학동,3**,8m미만,35,전세,202507,4,"8,000",0,1997,시루봉로19길,202508~202708,신규,-,,,단독다가구
172,서울특별시 마포구 성산동,3*,8m미만,43,전세,202507,4,"20,000",0,1995,성미산로7안길,202507~202707,신규,-,,,단독다가구
173,서울특별시 강동구 성내동,1**,8m미만,19.98,월세,202507,4,"1,000",40,2013,천호옛8길,202507~202607,신규,-,,,단독다가구
174,경기도 용인시 기흥구 상하동,1**,8m미만,169.5,전세,202507,4,"25,000",0,2017,중부대로819번길,202507~202707,갱신,사용,"25,000",0,단독다가구
175,서울특별시 도봉구 창동,2**,8m미만,44.98,월세,202507,4,300,50,1996,노해로63다길,202507~202607,신규,-,,,단독다가구
176,경상남도 사천시 향촌동,1***,12m미만,36,월세,202507,4,200,40,2017,서향안길,202507~202607,신규,-,,,단독다가구
177,경상남도 통영시 도남동,3**,8m미만,46,월세,202507,4,200,32,2010,서송정1길,202507~202707,신규,-,,,단독다가구
178,충청남도 논산시 취암동,1***,12m미만,65,전세,202507,4,"12,000",0,2015,관촉로251번길,202507~202707,신규,-,,,단독다가구
179,경기도 평택시 동삭동,6**,25m미만,33,월세,202507,4,100,45,2014,서재4길,202507~202601,신규,-,,,단독다가구
180,경기도 평택시 동삭동,7**,12m미만,35,월세,202507,4,500,50,2017,서재6길,202507~202607,신규,-,,,단독다가구
181,경기도 파주시 문발동,5**,12m미만,20,월세,202507,4,300,35,2011,안개초길,202507~202607,신규,-,,,단독다가구
182,부산광역시 동래구 온천동,1***,12m미만,46.44,월세,202507,4,"9,000",10,,석사북로95번길,202508~202708,신규,-,,,단독다가구
183,충청남도 논산시 취암동,1***,12m미만,26.4,월세,202507,4,"2,000",40,2022,번영로29번길,202507~202607,신규,-,,,단독다가구
184,대전광역시 서구 갈마동,9**,8m미만,18,월세,202507,4,500,32,2018,갈마중로,202507~202607,신규,-,,,단독다가구
185,울산광역시 북구 양정동,5**,12m미만,29,월세,202507,4,300,45,2016,양동4길,202507~202607,신규,-,,,단독다가구
186,대전광역시 서구 갈마동,3**,12m미만,19,월세,202507,4,300,30,2000,갈마로85번길,202507~202607,신규,-,,,단독다가구
187,대전광역시 중구 중촌동,4**,12m미만,25,월세,202507,4,"2,000",27,2017,목중로4번길,202507~202707,신규,-,,,단독다가구
188,대구광역시 북구 태전동,3**,12m미만,35,전세,202507,4,"12,000",0,2021,태전로15길,202507~202707,신규,-,,,단독다가구
189,경기도 구리시 수택동,4**,8m미만,38.3,월세,202507,4,"1,000",45,1990,원수택로,202507~202707,신규,-,,,단독다가구
190,경기도 구리시 수택동,5**,8m미만,36.49,월세,202507,4,500,45,1993,경춘로242번길,202507~202707,신규,-,,,단독다가구
191,대구광역시 북구 동변동,6**,12m미만,30,월세,202507,4,200,20,2003,동변로16길,202507~202607,신규,-,,,단독다가구
192,강원특별자치도 강릉시 옥천동,4*,8m미만,28.93,월세,202507,4,"1,000",40,1954,수문길21번길,202510~202710,갱신,-,100,50,단독다가구
